ACTG,Acacia Research Corporation,20150303,Law firm disqualified in fee dispute against Acacia Corp ,A California appeals court has disqualified the law firm of AlvaradoSmith from representing a client in a fee dispute with patent-holding company Acacia Research Corp because the firm had previously acted for another law firm in a similar fee case.,topStory
GOOG,Alphabet Inc,20150303,Venture capitalist Doerr testifies in Kleiner sexism case ,SAN FRANCISCO Venture capitalist John Doerr on Tuesday sought to fend off allegations of sexism at his firm  Kleiner Perkins Caufield & Byers  in testimony in a gender discrimination lawsuit targeting the firm.,topStory
GOOG,Alphabet Inc,20150303,Venture capitalist Doerr testifies in Kleiner sexism case ,SAN FRANCISCO Venture capitalist John Doerr on Tuesday sought to fend off allegations of sexism at his firm  Kleiner Perkins Caufield & Byers  in testimony in a gender discrimination lawsuit targeting the firm.,normal
GOOG,Alphabet Inc,20150303,UPDATE 2-Apple plans fix next week for newly uncovered Freak security bug ,BOSTON  March 3 Apple Inc and Google Inc said on Tuesday that they have developed fixes to mitigate the newly uncovered 'Freak' security flaw affecting mobile devices and Mac computers.,normal
GOOG,Alphabet Inc,20150303,Venture capitalist John Doerr to testify in sexism case ,SAN FRANCISCO  March 3 Venture capitalist John Doerr  credited with backing Amazon.com Inc  Google Inc  and many other technology companies  is set to testify on Tuesday in a gender discrimination trial involving his firm  Kleiner Perkins Caufield & Byers.,normal
GOOG,Alphabet Inc,20150303,EU's antitrust chief has met Google's Schmidt ,BRUSSELS The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOG,Alphabet Inc,20150303,EU's antitrust chief has met Google's Schmidt ,BRUSSELS  March 3 The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOGL,Alphabet Inc,20150303,Venture capitalist Doerr testifies in Kleiner sexism case ,SAN FRANCISCO Venture capitalist John Doerr on Tuesday sought to fend off allegations of sexism at his firm  Kleiner Perkins Caufield & Byers  in testimony in a gender discrimination lawsuit targeting the firm.,topStory
GOOGL,Alphabet Inc,20150303,Venture capitalist Doerr testifies in Kleiner sexism case ,SAN FRANCISCO Venture capitalist John Doerr on Tuesday sought to fend off allegations of sexism at his firm  Kleiner Perkins Caufield & Byers  in testimony in a gender discrimination lawsuit targeting the firm.,normal
GOOGL,Alphabet Inc,20150303,UPDATE 2-Apple plans fix next week for newly uncovered Freak security bug ,BOSTON  March 3 Apple Inc and Google Inc said on Tuesday that they have developed fixes to mitigate the newly uncovered 'Freak' security flaw affecting mobile devices and Mac computers.,normal
GOOGL,Alphabet Inc,20150303,Venture capitalist John Doerr to testify in sexism case ,SAN FRANCISCO  March 3 Venture capitalist John Doerr  credited with backing Amazon.com Inc  Google Inc  and many other technology companies  is set to testify on Tuesday in a gender discrimination trial involving his firm  Kleiner Perkins Caufield & Byers.,normal
GOOGL,Alphabet Inc,20150303,EU's antitrust chief has met Google's Schmidt ,BRUSSELS The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
GOOGL,Alphabet Inc,20150303,EU's antitrust chief has met Google's Schmidt ,BRUSSELS  March 3 The European Union's antitrust chief has met Google Executive Chairman Eric Schmidt as she seeks to resolve a four-year investigation into complaints that the Internet search giant abuses its dominance.,normal
AMZN,Amazoncom Inc,20150303,Venture capitalist Doerr testifies in Kleiner sexism case ,SAN FRANCISCO Venture capitalist John Doerr on Tuesday sought to fend off allegations of sexism at his firm  Kleiner Perkins Caufield & Byers  in testimony in a gender discrimination lawsuit targeting the firm.,topStory
AMZN,Amazoncom Inc,20150303,Venture capitalist Doerr testifies in Kleiner sexism case ,SAN FRANCISCO Venture capitalist John Doerr on Tuesday sought to fend off allegations of sexism at his firm  Kleiner Perkins Caufield & Byers  in testimony in a gender discrimination lawsuit targeting the firm.,normal
AMZN,Amazoncom Inc,20150303,Venture capitalist John Doerr to testify in sexism case ,SAN FRANCISCO  March 3 Venture capitalist John Doerr  credited with backing Amazon.com Inc  Google Inc  and many other technology companies  is set to testify on Tuesday in a gender discrimination trial involving his firm  Kleiner Perkins Caufield & Byers.,normal
AMZN,Amazoncom Inc,20150303,UPDATE 1-JD.com tops expectations with 73 pct rise in quarterly revenue ,* More than one-third of Q4 orders fulfilled by mobile   (Adds details),normal
AAPL,Apple Inc,20150303,UPDATE 2-Apple plans fix next week for newly uncovered Freak security bug ,BOSTON  March 3 Apple Inc and Google Inc said on Tuesday that they have developed fixes to mitigate the newly uncovered 'Freak' security flaw affecting mobile devices and Mac computers.,topStory
AAPL,Apple Inc,20150303,Apple edges out Samsung in global smartphone sales: Gartner ,Apple Inc  sold the most number of smartphones globally in the fourth quarter  overtaking Samsung Electronics Co Ltd  for the first time since 2011  according to research firm Gartner.,normal
AAPL,Apple Inc,20150303,CORRECTED-Apple edges out Samsung in global smartphone sales-Gartner ,March 3 Apple Inc sold the most number of smartphones globally in the fourth quarter  overtaking Samsung Electronics Co Ltd for the first time since 2011  according to research firm Gartner.,normal
AAPL,Apple Inc,20150303,Apple plans fix next week for newly uncovered Freak security bug ,BOSTON  March 3 An Apple Inc spokesman said on Tuesday that the company plans to release a fix next week to mitigate the newly uncovered 'Freak' security flaw affecting Safari browsers on its iOS and OS X operating systems.,normal
AAPL,Apple Inc,20150303,UPDATE 1-BMW CEO sees challenges mounting for successor ,* BMW group sales up 7 pct in Feb. - CEO   (Releads on challenges for incoming CEO  adds comments from CEO and a management board member),normal
AAPL,Apple Inc,20150303,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters March 03  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  now click on Related Co Data  now click on Co Events.                ,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,European shares slip off highs as Veolia and Barclays fall ,LONDON  March 3 European stock markets slipped from multi-year highs on Tuesday  pegged back by falls in French environment company Veolia and British bank Barclays .,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150303,Barclays will cut investment bank again if performance doesn't improve ,LONDON Barclays Plc  chief Antony Jenkins has threatened more cuts to its underperforming investment bank after a 750 million pounds ($1.2 billion) charge by the British bank provided fresh evidence of the costs of past misdemeanors by its traders. | Video ,normal
