ALGT,Allegiant Travel Company,20150402,U.S. judge orders temporary block of Allegiant Air pilot strike ,A U.S. judge on Wednesday issued an order temporarily blocking Allegiant Air pilots from striking after they announced a Thursday walkout.,topStory
GOOG,Alphabet Inc,20150402,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's  request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,topStory
GOOG,Alphabet Inc,20150402,CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet ,April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOG,Alphabet Inc,20150402,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOG,Alphabet Inc,20150402,UPDATE 1-China Internet authority denounces Google certificate rejection ,BEIJING  April 2 A Chinese Internet regulator on Thursday slammed as "unacceptable" a decision by Google Inc  to no longer recognise its certificates of trust  a move which could deter Chrome browser users accessing sites approved by the authority.,normal
GOOGL,Alphabet Inc,20150402,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's  request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,topStory
GOOGL,Alphabet Inc,20150402,CORRECTED-Google fails to dismiss privacy lawsuit over Google Wallet ,April 2 A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOGL,Alphabet Inc,20150402,Google fails to dismiss privacy lawsuit over Google Wallet ,A federal judge has rejected Google Inc's request to dismiss a lawsuit accusing the technology company of invading the privacy of users of its Google Wallet electronic payment service by sharing their personal information with outside app developers.,normal
GOOGL,Alphabet Inc,20150402,UPDATE 1-China Internet authority denounces Google certificate rejection ,BEIJING  April 2 A Chinese Internet regulator on Thursday slammed as "unacceptable" a decision by Google Inc  to no longer recognise its certificates of trust  a move which could deter Chrome browser users accessing sites approved by the authority.,normal
AMZN,Amazoncom Inc,20150402,Netflix to premiere original series "Montauk" in 2016 ,April 2 Streaming video service provider Netflix Inc said it will premiere its next series  "Montauk"  in 2016 as it looks to boost its original content in a highly competitive market.,normal
AAPL,Apple Inc,20150402,Apple's music streaming deals under EU regulatory spotlight: sources ,BRUSSELS European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform  two people with knowledge of the matter said.,topStory
AAPL,Apple Inc,20150402,UPDATE 1-Apple's music streaming deals under EU regulatory spotlight - sources ,BRUSSELS  April 2 European Union antitrust regulators are investigating Apple Inc's deals with record labels and online music streaming services to see if it is blocking rivals' access to its music planned streaming platform  two people with knowledge of the matter said.,normal
AAPL,Apple Inc,20150402,China's Alibaba finance arm  Xiaomi partner in wearable payments ,BEIJING Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc [XTC.UL] said on Thursday they will jointly develop mobile payment systems using wearable technology  a first for China's major tech firms.,normal
AAPL,Apple Inc,20150402,China's Alibaba finance arm  Xiaomi partner in wearable payments ,BEIJING  April 2 Alibaba Group Holding Ltd's  finance arm and smartphone maker Xiaomi Inc  said on Thursday they will jointly develop mobile payment systems using wearable technology  a first for China's major tech firms.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150402,Brazil M&A deals struggle with flagging outlook in 1st qtr-report ,SAO PAULO  April 2 The value of mergers and acquisitions in Brazil in the first quarter slipped to its lowest in two years  as slumping confidence and an economic downturn prevented buyers and sellers from finalizing deals in Latin America's largest economy.,normal
BPFH,Boston Private Financial Holdings Inc,20150402,MOVES-Baring Asset Management  Westhouse Securities  Berkshire Bank ,April 2 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BPFHP,Boston Private Financial Holdings Inc,20150402,MOVES-Baring Asset Management  Westhouse Securities  Berkshire Bank ,April 2 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
CHKP,Check Point Software Technologies Ltd,20150402,Check Point to buy Israel's Lacoon Mobile Security ,TEL AVIV Internet and network security provider Check Point Software Technologies will buy Israel-based Lacoon Mobile Security for tens of millions of dollars  it said on Thursday.,topStory
CHKP,Check Point Software Technologies Ltd,20150402,Deals of the day- Mergers and acquisitions ,April 2 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Thursday:,normal
CHKP,Check Point Software Technologies Ltd,20150402,UPDATE 1-Check Point to buy Israel's Lacoon Mobile Security ,TEL AVIV  April 2 Internet and network security provider Check Point Software Technologies will buy Israel-based Lacoon Mobile Security for tens of millions of dollars  it said on Thursday.,normal
ERIC,Ericsson,20150402,MEMO - Aktier utan rätt till utdelning ,02-apr-15  VOLVO              SEK   3.00   09-apr-15  TELIASONERA        SEK   3.00   10-apr-15  BEIJER REF         SEK   5.00   10-apr-15  SKANSKA            SEK   6.75   15-apr-15  BILIA A            SEK  12.00   15-apr-15  ERICSSON           SEK   3.40   15-apr-15  MEKONOMEN          SEK   7.00   15-apr-15  NOBIA              SEK   1.75   16-apr-15  GUNNEBO            SEK   1.00   16-apr-15  LUNDBERGS          SEK   5.00   16-apr-15  SAAB               SEK   4.75   16-apr-15  SCA             ,topStory
INTC,Intel Corporation,20150402,BRIEF-Ingenico Group and Intel to bring payments to the Internet of Things ,* Ingenico Group and Intel Corp to bring payments to the Internet of Things,topStory
INTC,Intel Corporation,20150402,Check Point to buy Israel's Lacoon Mobile Security ,TEL AVIV Internet and network security provider Check Point Software Technologies will buy Israel-based Lacoon Mobile Security for tens of millions of dollars  it said on Thursday.,normal
KLAC,KLA-Tencor Corporation,20150402,BRIEF-TSMC orders equipment from Screen Semiconductor and KLA-Tencor for T$1.13 bln ,April 2 Taiwan Semiconductor Manufacturing Co Ltd,topStory
MAT,Mattel Inc,20150402,Mattel appoints Christopher Sinclair as CEO ,Struggling toymaker Mattel Inc appointed Christopher Sinclair chief executive  betting on an insider to lead the company’s efforts to regain favor among young girls who prefer tablets and trendier dolls to the aging Barbie.,topStory
MAT,Mattel Inc,20150402,UPDATE 2-Mattel appoints Christopher Sinclair as CEO ,* Shares fall as much as 3.3. pct   (Adds analyst comment  details  background; updates shares),normal
