AIRT,Air T Inc,20150511,BRIEF-Tinc prices IPO at 11 euros per share and raises 110 mln euros ,* Tinc has an initial public offering at 11 euros ($12.28) per share and raises 110 million euros,topStory
AAL,American Airlines Group Inc,20150511,UPDATE 1-American Airlines says fuel costs to squeeze margins in 2nd qtr ,May 11 American Airlines Group raised its estimate for jet fuel costs and cut its margin forecast for the current quarter  reflecting the more than 10 percent  rise in U.S. crude oil prices since the start of the year.,topStory
AAL,American Airlines Group Inc,20150511,American Airlines sees higher fuel costs in 2nd quarter ,May 11 American Airlines Group raised its forecast for jet fuel costs for the current quarter  reflecting a recent rise in crude oil prices.,normal
AAPL,Apple Inc,20150511,US STOCKS-Wall Street ends down on global jitters; oil stocks lower ,* Indexes end lower: Dow 0.5 pct  S&P 0.5 pct  Nasdaq 0.2 pct   (Updates to close  adds detail  comment),topStory
AAPL,Apple Inc,20150511,US STOCKS-Wall Street dips on global worries; oil stocks trickle lower ,* Indexes: Dow down 0.4 pct  S&P down 0.3 pct  Nasdaq flat   (Updates to mid-afternoon),normal
AAPL,Apple Inc,20150511,US STOCKS-Wall St slips on Greece  China worries; energy stocks lower ,* Indexes: Dow down 0.3 pct  S&P down 0.3 pct  Nasdaq up 0.03 pct   (Updates to early afternoon),normal
AAPL,Apple Inc,20150511,US STOCKS-Wall St mixed on Greece  China worries; energy stocks down ,* Indexes: Dow down 0.08 pct  S&P up 0.05 pct  Nasdaq up 0.1 pct   (Adds details  changes comment  updates prices),normal
AAPL,Apple Inc,20150511,Borrowers warned: Don't be fooled by high grade market resilience ,NEW YORK  May 11 (IFR) - Apple  Shell and AbbVie blitzed the US bond market last week with a combined US$34bn of jumbo bond deals in just two days  bringing the week's tally to US$52bn  the fourth-largest of all time.,normal
AAPL,Apple Inc,20150511,Chinese smartphone market  world's largest  shrinks in first-quarter: study ,BEIJING China's smartphone market has reached saturation  according to a new study by industry analyst IDC that carries potentially significant implications for the global handset industry led by giants like Apple Inc  and Samsung Electronics Co Ltd .,normal
AAPL,Apple Inc,20150511,Chinese smartphone market  world's largest  shrinks in Q1 -study ,BEIJING  May 11 China's smartphone market has reached saturation  according to a new study by industry analyst IDC that carries potentially significant implications for the global handset industry led by giants like Apple Inc  and Samsung Electronics Co Ltd.,normal
AAPL,Apple Inc,20150511,UPDATE 2-Sharp may slash capital  issue preferred shares; stock dives ,* Slashing capital would wipe accumulated losses off its books,normal
AZPN,Aspen Technology Inc,20150511,S.Africa's Aspen sells part of local unit to Endo for $134 mln ,JOHANNESBURG  May 11 South Africa's biggest drugmaker Aspen Pharmacare said on Monday it will sell a part of its local business to a unit of Endo International Plc  for 1.6 billion rand ($134 million).,topStory
AUDC,AudioCodes Ltd,20150511,BRIEF-AC Q1 net profit up at 7.3 million zlotys ,* Said on Friday Q1 revenue was 41.7 million zlotys  ($11.5 million) versus 45.1 million zlotys a year ago,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150511,MOVES- Societe Generale  Newton Investment  Thomas Miller ,May 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150511,Bank parents or main units seen pleading guilty over FX: sources ,NEW YORK The parent companies or main banking units of as many as five major banks  rather than their smaller subsidiaries  are expected to plead guilty to U.S. criminal charges over manipulation of foreign exchange rates  people familiar with the matter said.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150511,MOVES-Barclays hires semiconductor banker from Bank of America-source ,May 11 Barclays Plc has hired Mark Garcia  a semiconductor specialist from Bank of America  in a move to help build out its team in one of the most active sectors of technology banking.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150511,BRIEF-JC Flowers & Co funds to sell about 6.5 pct stake in OneSavings Bank ,* Accelerated bookbuilt offering of 15 722 599 existing shares in OneSavings Bank Plc,normal
BIOL,Biolase Inc,20150511,S.Africa's Aspen sells part of local unit to Endo for $134 mln ,JOHANNESBURG  May 11 South Africa's biggest drugmaker Aspen Pharmacare said on Monday it will sell a part of its local business to a unit of Endo International Plc  for 1.6 billion rand ($134 million).,topStory
CMCSA,Comcast Corporation,20150511,Comcast names Carlyle Group's Michael Cavanagh as CFO ,Comcast Corp  on Monday named Carlyle Group LP  Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc .,topStory
CMCSA,Comcast Corporation,20150511,UPDATE 2-Comcast names Carlyle Group's Michael Cavanagh as CFO ,May 11 Comcast Corp on Monday named Carlyle Group LP Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc.,normal
CMCSA,Comcast Corporation,20150511,Comcast names Michael Cavanagh CFO ,May 11 Comcast Corp named Michael Cavanagh chief financial officer  succeeding Michael Angelakis.,normal
DISH,DISH Network Corporation,20150511,Dish revenue rises as it earns more per pay-TV user ,Dish Network Corp  reported a 3.6 percent rise in quarterly revenue as it earned more per user in its core pay-TV business  making up for a fall in subscribers.,topStory
DISH,DISH Network Corporation,20150511,UPDATE 2-Dish revenue rises as it earns more per pay-TV user ,* Spectrum strategy to remain the focus - Analysts   (Adds analyst comment  details  shares),normal
DISH,DISH Network Corporation,20150511,Dish revenue jumps 3.6 pct as pay-TV revenue per user rises ,May 11 Dish Network Corp reported a 3.6 percent rise in quarterly revenue as more revenue per user in its core pay-TV business made up for a fall in total number of subscribers.,normal
ERIC,Ericsson,20150511,BRIEF-Ericsson wins network upgrade order from Safaricom ,*Safaricom  Kenya's largest mobile operator  signs multi-year agreement with Ericsson to upgrade its network for enhanced mobile broadband services,topStory
MDLZ,Mondelez International Inc,20150511,Fitch Affirms Mondelez's IDRs at 'BBB/F2'; Outlook Negative ,(The following statement was released by the rating agency) CHICAGO  May 11 (Fitch) Fitch Ratings has affirmed the long-term Issuer Default  Rating (IDR) for Mondelez International  Inc. (Mondelez) at 'BBB' and removed it  from Rating Watch Negative.  Fitch has also affirmed the short-term IDR at 'F2'.  The Rating Outlook is Negative. A full list of ratings affirmed follows at the  end of this release. The removal from Rating Watch indicates Fitch's view that Mondelez's coffee  joint venture wit,topStory
MORN,Morningstar Inc,20150511,Bill Gross's fund draws low cash inflow  returns lagging ,NEW YORK The Janus Global Unconstrained Bond Fund  overseen by widely followed investor Bill Gross  attracted just $58.6 million in net new cash in April  and posted below-average returns  according to Morningstar data on Monday.,topStory
MORN,Morningstar Inc,20150511,UPDATE 2-Bill Gross's fund draws low cash inflow  returns lagging ,NEW YORK  May 11 The Janus Global Unconstrained Bond Fund  overseen by widely followed investor Bill Gross  attracted just $58.6 million in net new cash in April  and posted below-average returns  according to Morningstar data on Monday.,normal
PLUG,Plug Power Inc,20150511,Fuel-cell maker Plug Power's adjusted loss widens as costs double ,May 11 Fuel cell maker Plug Power Inc  reported a bigger adjusted quarterly loss as costs more than doubled.,topStory
TROW,T Rowe Price Group Inc,20150511,T Rowe's challenge to Dell deal may fuel critics of 'appraisal' ,WILMINGTON  Del An increasingly popular tactic used by hedge funds and others to extract more money from buyouts could soon face a major courtroom test when a big investor in Dell Inc may argue that it should be paid a higher price for the 2013 acquisition of the PC maker.,topStory
TROW,T Rowe Price Group Inc,20150511,UPDATE 1-T Rowe's challenge to Dell deal may fuel critics of 'appraisal' ,WILMINGTON  Del  May 11 An increasingly popular tactic used by hedge funds and others to extract more money from buyouts could soon face a major courtroom test when a big investor in Dell Inc may argue that it should be paid a higher price for the 2013 acquisition of the PC maker.,normal
TROW,T Rowe Price Group Inc,20150511,T Rowe's challenge to Dell deal may fuel critics of 'appraisal' ,WILMINGTON  Del  May 11 An increasingly popular tactic used by hedge funds and others to extract more money from buyouts could face a major courtroom test as soon as Monday  when a big investor in Dell Inc may argue that it should be paid a higher price for the 2013 acquisition of the PC maker.,normal
CG,The Carlyle Group LP,20150511,Comcast names Carlyle Group's Michael Cavanagh as CFO ,Comcast Corp  on Monday named Carlyle Group LP  Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc .,topStory
CG,The Carlyle Group LP,20150511,UPDATE 2-Comcast names Carlyle Group's Michael Cavanagh as CFO ,May 11 Comcast Corp on Monday named Carlyle Group LP Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc.,normal
CG,The Carlyle Group LP,20150511,UPDATE 1-Comcast names Carlyle Group's Michael Cavanagh CFO ,May 11 Comcast Corp named Michael Cavanagh chief financial officer to replace Michael Angelakis  who moves on to head the cable operator's new investment arm.,normal
TCGP,The Carlyle Group LP,20150511,Comcast names Carlyle Group's Michael Cavanagh as CFO ,Comcast Corp  on Monday named Carlyle Group LP  Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc .,topStory
TCGP,The Carlyle Group LP,20150511,UPDATE 2-Comcast names Carlyle Group's Michael Cavanagh as CFO ,May 11 Comcast Corp on Monday named Carlyle Group LP Co-President Michael Cavanagh as chief financial officer  bringing on a prominent dealmaker after its failed attempt to acquire Time Warner Cable Inc.,normal
TCGP,The Carlyle Group LP,20150511,UPDATE 1-Comcast names Carlyle Group's Michael Cavanagh CFO ,May 11 Comcast Corp named Michael Cavanagh chief financial officer to replace Michael Angelakis  who moves on to head the cable operator's new investment arm.,normal
ABBV,AbbVie Inc,20150511,Borrowers warned: Don't be fooled by high grade market resilience ,NEW YORK  May 11 (IFR) - Apple  Shell and AbbVie blitzed the US bond market last week with a combined US$34bn of jumbo bond deals in just two days  bringing the week's tally to US$52bn  the fourth-largest of all time.,topStory
AJRD,Aerojet Rocketdyne Holdings Inc ,20150511,Aerojet Rocketdyne  others look at keeping Atlas 5 rocket in use ,WASHINGTON Aerojet Rocketdyne and two other firms on Monday said they are exploring options for obtaining the data rights to the Atlas 5 launch vehicle and swapping out its Russian-built engine with the AR1 engine that Aerojet Rocketdyne is developing.,topStory
AJRD,Aerojet Rocketdyne Holdings Inc ,20150511,Aerojet Rocketdyne  others look at keeping Atlas 5 rocket in use ,WASHINGTON  May 11 Aerojet Rocketdyne  and two other firms on Monday said they are exploring options for obtaining the data rights to the Atlas 5 launch vehicle and swapping out its Russian-built engine with the AR1 engine that Aerojet Rocketdyne is developing.,normal
BABA,Alibaba Group Holding Limited,20150511,US STOCKS-Wall St mixed at open; energy shares fall ,* Rosetta soars as Noble Energy offers to buy company for $2 bln,topStory
BABA,Alibaba Group Holding Limited,20150511,Softbank's Arora says no rush to sell Alibaba stake ,TOKYO SoftBank's Chief Executive Masayoshi Son is not in a rush to sell the company's stake in Chinese e-commerce giant Alibaba Group Holding Ltd as the billionaire is confident in the company's growth  SoftBank Vice Chairman Nikesh Arora told Reuters on Monday in an interview.,normal
BABA,Alibaba Group Holding Limited,20150511,Softbank's Arora says no rush to sell Alibaba stake ,TOKYO  May 11 SoftBank's Chief Executive Masayoshi Son is not in a rush to sell the company's stake in Chinese e-commerce giant Alibaba Group Holding Ltd as the billionaire is confident in the company's growth  SoftBank Vice Chairman Nikesh Arora told Reuters on Monday in an interview.,normal
BABA,Alibaba Group Holding Limited,20150511,US STOCKS-Futures little changed after soaring last week on strong jobs data ,* Rosetta soars as Noble Energy offers to buy company for $2 bln,normal
AGN,Allergan plc,20150511,Actavis expects Allergan business to drive 2015 growth ,Drugmaker Actavis Plc  expects its full-year revenue to rise at least 57 percent  helped by double-digit growth from the Allergan business it bought in March.,topStory
AGN,Allergan plc,20150511,UPDATE 2-Actavis expects Allergan business to drive 2015 growth ,* Expects 2015 rev of $20.5-$21 bln; adj rev of $22-$22.5 bln,normal
APO,Apollo Global Management LLC,20150511,Deals of the day- Mergers and acquisitions ,May 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,topStory
APO,Apollo Global Management LLC,20150511,Exclusive: Apollo in talks to buy ASG Security  combine with other firm - sources ,Apollo Global Management Llc  is in talks to buy ASG Security and combine it with another home security company it is acquiring  Protection 1  valuing them collectively at about $2 billion  people familiar with the matter said on Monday.,normal
BAC,Bank of America Corporation,20150511,MOVES-Barclays hires semiconductor banker from Bank of America-source ,May 11 Barclays Plc has hired Mark Garcia  a semiconductor specialist from Bank of America  in a move to help build out its team in one of the most active sectors of technology banking.,topStory
BCS,Barclays PLC,20150511,MOVES- Societe Generale  Newton Investment  Thomas Miller ,May 11 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20150511,Bank parents or main units seen pleading guilty over FX: sources ,NEW YORK The parent companies or main banking units of as many as five major banks  rather than their smaller subsidiaries  are expected to plead guilty to U.S. criminal charges over manipulation of foreign exchange rates  people familiar with the matter said.,normal
