ACHN,Achillion Pharmaceuticals Inc,20150520,CORRECTED-UPDATE 1-Achillion partners with J&J to develop hep C drugs (May 19) ,May 19 Achillion Pharmaceuticals Inc  said it will collaborate with Johnson & Johnson to develop and market its hepatitis C drugs including an oral regimen that could work on all genotypes and shorten treatment time.,topStory
ATVI,Activision Blizzard Inc,20150520,Judge OKs Activision $275 mln shareholder settlement  $72 mln for lawyers ,WILMINGTON  Del. A Delaware judge on Wednesday approved a $275 million shareholder settlement involving videogame maker Activision Blizzard Inc and awarded the small law firms that brought the case a $72.5 million fee.,topStory
ATVI,Activision Blizzard Inc,20150520,Judge OKs Activision $275 mln shareholder settlement  $72 mln for lawyers ,WILMINGTON  Del.  May 20 A Delaware judge on Wednesday approved a $275 million shareholder settlement involving videogame maker Activision Blizzard Inc and awarded the small law firms that brought the case a $72.5 million fee.,normal
GOOG,Alphabet Inc,20150520,Huawei stakes claim in 'Internet of Things' market with new operating system ,BEIJING  May 20 China's Huawei Technologies Co Ltd  the world's biggest telecommunications equipment maker  on Wednesday became the latest tech giant to present its own take on the 'Internet of Things' (IoT)  centred on an operating system designed to allow household and business appliances to communicate with each other online.,normal
GOOGL,Alphabet Inc,20150520,Huawei stakes claim in 'Internet of Things' market with new operating system ,BEIJING  May 20 China's Huawei Technologies Co Ltd  the world's biggest telecommunications equipment maker  on Wednesday became the latest tech giant to present its own take on the 'Internet of Things' (IoT)  centred on an operating system designed to allow household and business appliances to communicate with each other online.,normal
AMZN,Amazoncom Inc,20150520,RPT-Wal-Mart eyes Amazon in potentially costly e-commerce battle ,May 19 Wal-Mart Stores Inc said that it would take a different approach to online growth than Amazon.com Inc by using its large network of stores as distribution points.,topStory
AMZN,Amazoncom Inc,20150520,Wal-Mart eyes Amazon in potentially costly e-commerce battle ,Wal-Mart Stores Inc said that it would take a different approach to online growth than Amazon.com Inc by using its large network of stores as distribution points.,normal
AAPL,Apple Inc,20150520,RPT - INSIGHT-Apple  Android app makers cool to Microsoft overtures ,SEATTLE  May 20 Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,topStory
AAPL,Apple Inc,20150520,Insight: Apple  Android app makers cool to Microsoft overtures ,SEATTLE Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,normal
AAPL,Apple Inc,20150520,Apple  Android app makers cool to Microsoft overtures ,SEATTLE Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,normal
AAPL,Apple Inc,20150520,INSIGHT-Apple  Android app makers cool to Microsoft overtures ,SEATTLE  May 20 Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150520,WRAPUP 7-Global banks admit guilt in forex probe  fined nearly $6 bln ,NEW YORK/LONDON  May 20 Four major banks pleaded guilty on Wednesday to trying to manipulate foreign exchange rates and  with two others  were fined nearly $6 billion in another settlement in a global probe into the $5 trillion-a-day market.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150520,Barclays agrees $115 mln ISDAfix settlement with CFTC ,LONDON  May 20 Barclays was fined $115 million by the U.S. Commodity Futures Trading Commission on Wednesday to settle an investigation into the setting of the ISDAfix benchmark  in addition to a fine for currency market manipulation.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150520,Barclays agrees $115 mln ISDAfix settlement with CFTC ,LONDON  May 20 Barclays was fined $115 million by the U.S. Commodity Futures Trading Commission on Wednesday to settle an investigation into the setting of the ISDAfix benchmark  in addition to a fine for currency market manipulation.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150520,REFILE-Barclays fined $2.4 bln for FX manipulation  to fire 8 staff ,LONDON  May 20 Barclays Plc pleaded guilty to a U.S. criminal charge and was fined $2.4 billion by U.S. and British authorities on Wednesday for manipulating foreign exchange rates.,normal
GLPG,Galapagos NV,20150520,BRIEF-Galapagos announces closing of NASDAQ IPO ,* Said on Tuesday it closed global offering of 7 532 499 ordinary shares  consisting of an underwritten public offering of 5 746 000 American Depositary Shares ("ADSs")  at a price of $42.05 per ADS  before underwriting discounts ,topStory
GLPG,Galapagos NV,20150520,BRIEF-Galapagos announces capital increase ,* Reported on Tuesday a capital increase in connection with the closing of its global offering,normal
GLNG,Golar LNG Limited,20150520,Trafigura takes up to 6 single-voyage vessels from Golar LNG ,MILAN  May 20 Swiss trader Trafigura has taken up to six liquefied natural gas (LNG) vessels from Norwegian shipping company Golar LNG  likely on a single-voyage basis to transport cargoes  trading and shipping sources said.,topStory
INTC,Intel Corporation,20150520,Huawei stakes claim in 'Internet of Things' market with new operating system ,BEIJING China's Huawei Technologies Co Ltd  the world's biggest telecommunications equipment maker  on Wednesday became the latest tech giant to present its own take on the 'Internet of Things' (IoT)  centred on an operating system designed to allow household and business appliances to communicate with each other online.,normal
INTC,Intel Corporation,20150520,Huawei stakes claim in 'Internet of Things' market with new operating system ,BEIJING  May 20 China's Huawei Technologies Co Ltd  the world's biggest telecommunications equipment maker  on Wednesday became the latest tech giant to present its own take on the 'Internet of Things' (IoT)  centred on an operating system designed to allow household and business appliances to communicate with each other online.,normal
JBLU,JetBlue Airways Corporation,20150520,JetBlue believes it could not predict ex-pilot's midair meltdown ,NEW YORK JetBlue Airways Corp believes it had no way to know it should have grounded a former pilot before his midair meltdown forced an emergency landing  and that his $14.9 million damages lawsuit should be dismissed.,topStory
JBLU,JetBlue Airways Corporation,20150520,JetBlue believes it could not predict ex-pilot's midair meltdown ,NEW YORK JetBlue Airways Corp believes it had no way to know it should have grounded a former pilot before his midair meltdown forced an emergency landing  and that his $14.9 million damages lawsuit should be dismissed.,normal
JBLU,JetBlue Airways Corporation,20150520,JetBlue believes it could not predict ex-pilot's midair meltdown ,NEW YORK  May 20 JetBlue Airways Corp  believes it had no way to know it should have grounded a former pilot before his midair meltdown forced an emergency landing  and that his $14.9 million damages lawsuit should be dismissed.,normal
JBLU,JetBlue Airways Corporation,20150520,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 20  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
LBTYA,Liberty Global plc,20150520,UK's FTSE rises near record high as banks and Vodafone advance ,LONDON  May 20 Britain's top share index climbed back towards earlier record highs on Wednesday  buoyed by gains in major bank stocks and after bid speculation lifted the shares of mobile network operator Vodafone.,topStory
LBTYA,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LBTYA,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LBTYA,Liberty Global plc,20150520,Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON Vodafone's  shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LBTYA,Liberty Global plc,20150520,UPDATE 1-Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON  May 20 Vodafone's shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LBTYA,Liberty Global plc,20150520,Britain's FTSE edges lower after Burberry cuts outlook ,LONDON  May 20 Britain's top share index edged lower in choppy trade on Wednesday  weighed down by a hefty drop in luxury goods maker Burberry after it gave a lower outlook for 2016  although M&A talk around Vodafone supported the market.,normal
LBTYA,Liberty Global plc,20150520,PRESS DIGEST- British Business - May 20 ,May 20 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
LBTYB,Liberty Global plc,20150520,UK's FTSE rises near record high as banks and Vodafone advance ,LONDON  May 20 Britain's top share index climbed back towards earlier record highs on Wednesday  buoyed by gains in major bank stocks and after bid speculation lifted the shares of mobile network operator Vodafone.,topStory
LBTYB,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LBTYB,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LBTYB,Liberty Global plc,20150520,Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON Vodafone's  shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LBTYB,Liberty Global plc,20150520,UPDATE 1-Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON  May 20 Vodafone's shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LBTYB,Liberty Global plc,20150520,Britain's FTSE edges lower after Burberry cuts outlook ,LONDON  May 20 Britain's top share index edged lower in choppy trade on Wednesday  weighed down by a hefty drop in luxury goods maker Burberry after it gave a lower outlook for 2016  although M&A talk around Vodafone supported the market.,normal
LBTYB,Liberty Global plc,20150520,PRESS DIGEST- British Business - May 20 ,May 20 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
LBTYK,Liberty Global plc,20150520,UK's FTSE rises near record high as banks and Vodafone advance ,LONDON  May 20 Britain's top share index climbed back towards earlier record highs on Wednesday  buoyed by gains in major bank stocks and after bid speculation lifted the shares of mobile network operator Vodafone.,topStory
LBTYK,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LBTYK,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LBTYK,Liberty Global plc,20150520,Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON Vodafone's  shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LBTYK,Liberty Global plc,20150520,UPDATE 1-Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON  May 20 Vodafone's shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LBTYK,Liberty Global plc,20150520,Britain's FTSE edges lower after Burberry cuts outlook ,LONDON  May 20 Britain's top share index edged lower in choppy trade on Wednesday  weighed down by a hefty drop in luxury goods maker Burberry after it gave a lower outlook for 2016  although M&A talk around Vodafone supported the market.,normal
LBTYK,Liberty Global plc,20150520,PRESS DIGEST- British Business - May 20 ,May 20 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
LILA,Liberty Global plc,20150520,UK's FTSE rises near record high as banks and Vodafone advance ,LONDON  May 20 Britain's top share index climbed back towards earlier record highs on Wednesday  buoyed by gains in major bank stocks and after bid speculation lifted the shares of mobile network operator Vodafone.,topStory
LILA,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LILA,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LILA,Liberty Global plc,20150520,Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON Vodafone's  shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LILA,Liberty Global plc,20150520,UPDATE 1-Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON  May 20 Vodafone's shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LILA,Liberty Global plc,20150520,Britain's FTSE edges lower after Burberry cuts outlook ,LONDON  May 20 Britain's top share index edged lower in choppy trade on Wednesday  weighed down by a hefty drop in luxury goods maker Burberry after it gave a lower outlook for 2016  although M&A talk around Vodafone supported the market.,normal
LILA,Liberty Global plc,20150520,PRESS DIGEST- British Business - May 20 ,May 20 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
LILAK,Liberty Global plc,20150520,UK's FTSE rises near record high as banks and Vodafone advance ,LONDON  May 20 Britain's top share index climbed back towards earlier record highs on Wednesday  buoyed by gains in major bank stocks and after bid speculation lifted the shares of mobile network operator Vodafone.,topStory
LILAK,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LILAK,Liberty Global plc,20150520,Britain's FTSE kept steady by rise in Vodafone ,LONDON  May 20 Britain's top share index held firm on Wednesday  as bid speculation lifted mobile network operator Vodafone  whose gains offset a slump in the shares of luxury goods group Burberry.,normal
LILAK,Liberty Global plc,20150520,Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON Vodafone's  shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LILAK,Liberty Global plc,20150520,UPDATE 1-Vodafone shares rise on Malone's Liberty tie-up comments ,LONDON  May 20 Vodafone's shares jumped 4 percent on Wednesday after the chairman of Liberty Global   John Malone  said the two companies would make a "great fit"  reigniting long-running merger speculation.,normal
LILAK,Liberty Global plc,20150520,Britain's FTSE edges lower after Burberry cuts outlook ,LONDON  May 20 Britain's top share index edged lower in choppy trade on Wednesday  weighed down by a hefty drop in luxury goods maker Burberry after it gave a lower outlook for 2016  although M&A talk around Vodafone supported the market.,normal
LILAK,Liberty Global plc,20150520,PRESS DIGEST- British Business - May 20 ,May 20 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MSFT,Microsoft Corporation,20150520,RPT - INSIGHT-Apple  Android app makers cool to Microsoft overtures ,SEATTLE  May 20 Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,topStory
MSFT,Microsoft Corporation,20150520,Insight: Apple  Android app makers cool to Microsoft overtures ,SEATTLE Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,normal
MSFT,Microsoft Corporation,20150520,Apple  Android app makers cool to Microsoft overtures ,SEATTLE Microsoft's plan to make its new version of Windows a mobile hit by letting it accept tweaked Apple and Android apps has met an obstacle: some of the software developers the company needs to woo just aren't interested.,normal
