AMZN,Amazoncom Inc,20150715,Amazon's Prime Day draws big virtual crowd  frustrates some shoppers ,Merchants participating in Amazon.com's much-advertised "Prime Day" sale saw an 80 percent rise in U.S. sales from a year earlier  according to preliminary data from e-commerce researcher ChannelAdvisor  although the event also drew ire from some shoppers.,topStory
AAPL,Apple Inc,20150715,Apple launches latest iPod touch ,Apple Inc on Wednesday launched its latest iPod touch gadget at a time when the company is looking to popularize its new music service.,topStory
AAPL,Apple Inc,20150715,Apple launches latest iPod touch ,July 15 Apple Inc on Wednesday launched its latest iPod touch gadget at a time when the company is looking to popularize its new music service.,normal
ASML,ASML Holding NV,20150715,European shares near three-week high  with focus on Greek vote ,* SKF falls 8.6 percent after results   (Adds closing prices  detail),topStory
ASML,ASML Holding NV,20150715,Chip equipment maker ASML sees possible 2015 sales beat ,FRANKFURT Dutch lithography machine maker ASML forecast a bigger-than-expected rise in 2015 revenue as its customers prepared to add more semiconductor production capacity  lifting its shares more than 4 percent.,normal
ASML,ASML Holding NV,20150715,UPDATE 2-Chip equipment maker ASML sees possible 2015 sales beat ,* Bookings up nearly 500 mln euros in Q2   (Adds CEO comments  background  updates shares),normal
ASML,ASML Holding NV,20150715,CORRECTED-ASML sees 2015 sales ahead of last year's 5.86 bln euros ,FRANKFURT  July 15 ASML Holding  the world's second largest maker of semiconductor production equipment  on Wednesday said its 2015 sales would exceed last year's 5.86 billion euros ($6.44 billion) after reporting broadly in-line second-quarter results.,normal
ASML,ASML Holding NV,20150715,BRIEF-ASML CEO sees 2015 sales higher than 2014's 5.86 bln euros ,* CEO says sees Q4 sales equal to Q3 outlook  "with some upside potential",normal
ASML,ASML Holding NV,20150715,European Factors to Watch on June 15 ,LONDON  July 15 Financial spreadbetters expected Britain's FTSE 100 to open up 6 to 20 points or as much as 0.3 percent higher  Germany's DAX to open 36 to 49 points or as much as 0.4 percent up  and France's CAC 40 to open 10 to 27 points or as much as 0.5 percent higher.          MAJOR EUROPEAN COMPANIES REPORTING:     SVT.L   Severn Trent PLC            Severn Trent PLC Interim Management                                      Statement Release  BON.OL  Bonheur ASA                 Q,normal
ASML,ASML Holding NV,20150715,BRIEF-ASML Holding Q2 net profit drops to 370 mln euros ,* Reports Q2 results in line with guidance  company says on track for record 2015 sales,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150715,MOVES- Barclays  Citigroup  Willis  Permira ,July 15 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150715,UPDATE 2-Worldpay heads for listing after picking Barclays' Rake as chairman ,* Move signals likely Worldpay IPO in London  maybe this year,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150715,MOVES-Barclays names Victor Wang head of China financials research ,July 15 Barclays Plc appointed Victor Wang as director  head of China financials research and China equity strategy.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150715,Barclays deputy chairman set to leave to chair Worldpay -sources ,LONDON  July 15 Barclays' deputy chairman Michael Rake is expected to step down this year and become chairman of payments processing firm Worldpay  two sources familiar with the matter said on Wednesday.,normal
CELG,Celgene Corporation,20150715,Wall Street edges lower as energy weighs ,U.S. stocks edged lower on Wednesday following comments from Federal Reserve Chair Janet Yellen  as a decline in energy shares outweighed gains in the financial sector in the latter stages of trading.,topStory
CELG,Celgene Corporation,20150715,Wall Street lauds Celgene's $7.2 billion Receptos buy ,Celgene Corp's  effort to reduce dependence on its flagship cancer drug through the $7.2 billion bet on Receptos Inc's  potential blockbuster drug won the backing of Wall Street.,normal
CELG,Celgene Corporation,20150715,US STOCKS-Wall St higher; financial stocks lead ,* Indexes up: Dow 0.07 pct  S&P 0.09 pct  Nasdaq 0.16 pct   (Updates to early afternoon),normal
CELG,Celgene Corporation,20150715,US STOCKS-Wall St up as Fed says on track to raise rates in 2015 ,* Indexes up: Dow 0.17 pct  S&P 0.2 pct  Nasdaq 0.36 pct   (Adds details  changes comment  updates prices),normal
CELG,Celgene Corporation,20150715,Deals of the day- Mergers and acquisitions ,July 15 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
DBVT,DBV Technologies SA,20150715,BRIEF-DBV Technologies announces pricing of public offering of ordinary shares ,* DBV Technologies announces pricing of underwritten public offering of ordinary shares,topStory
ESLT,Elbit Systems Ltd,20150715,Israeli firm develops health-warning sensor for pilots ,HAIFA  Israel Israeli defense electronics firm Elbit Systems says it has developed a body sensor that could help save the lives of pilots by forewarning of possible loss of consciousness in extreme manoeuvres or because of oxygen starvation.,topStory
ESLT,Elbit Systems Ltd,20150715,Israeli firm develops health-warning sensor for pilots ,HAIFA  Israel  July 15 Israeli defence electronics firm Elbit Systems says it has developed a body sensor that could help save the lives of pilots by forewarning of possible loss of consciousness in extreme manoeuvres or because of oxygen starvation.,normal
FNJN,Finjan Holdings Inc,20150715,With cybersecurity top of mind  Finjan patents to be tested at trial ,NEW YORK As data breaches and cybersecurity hazards become increasingly difficult for governments and corporations to manage  two companies specializing in the area are going head to head in a trial beginning next Monday  with one accusing the other of copying its technology.,topStory
GLPG,Galapagos NV,20150715,BRIEF-Galapagos enters licensing agreement with HUB foundation ,* To license organoid technology from the HUB foundation for use in cystic fibrosis and IBD research,topStory
HUBG,Hub Group Inc,20150715,BRIEF-Galapagos enters licensing agreement with HUB foundation ,* To license organoid technology from the HUB foundation for use in cystic fibrosis and IBD research,topStory
INTC,Intel Corporation,20150715,Intel serves up revenue  profit beat as data center business grows ,Intel Corp  reported better-than-expected quarterly results on Wednesday as growth in its data centers and Internet-of-Things businesses helped offset weak demand for personal computers that use the company's chips.,topStory
INTC,Intel Corporation,20150715,UPDATE 3-Intel serves up revenue  profit beat as data center business grows ,* Shares rise as much as 9.2 pct after market   (Adds analysts comments  details; updates shares),normal
INTC,Intel Corporation,20150715,US STOCKS-Wall Street edges lower as energy weighs ,* Indexes off: Dow 0.02 pct  S&P 0.07 pct  Nasdaq 0.12 pct   (Adds Intel  Netflix earnings),normal
MU,Micron Technology Inc,20150715,McCain raises concerns about possible China bid for Micron Tech ,WASHINGTON Republican U.S. Senator John McCain on Wednesday raised concerns about the potential national security implications of a proposed bid by China's Tsinghua Unigroup Ltd's [TSHUAA.UL] to acquire U.S. chip maker Micron Technology Inc   and called for a thorough U.S. review.,topStory
