AMCX,AMC Networks Inc,20150805,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from August 5  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                        ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-           Eikon Indicator-> Home-&g,topStory
CRMT,America&#39;s Car-Mart Inc,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
CRMT,America&#39;s Car-Mart Inc,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
AAPL,Apple Inc,20150805,CORRECTED-Apple's momentum 'meltdown' bites investors ,NEW YORK  Aug 4 Has the "curse of the Dow" finally caught up with Apple?,topStory
ADP,Automatic Data Processing Inc,20150805,TREASURIES-Longer-dated yields rise on Fed rate hike skepticism ,* ADP data  comments from Fed's Powell kindle skepticism over September rate hike   (Updates prices  adds comments),topStory
ADP,Automatic Data Processing Inc,20150805,US STOCKS-Nasdaq  S&P 500 higher; Dow dragged down by Walt Disney ,* Dow down 0.08 pct  S&P up 0.31 pct  Nasdaq up 0.76 pct   (Updates to early afternoon),normal
ADP,Automatic Data Processing Inc,20150805,US STOCKS-Wall St higher as data eases Sept rate hike worries ,* Indexes up: Dow 0.51 pct  S&P 0.82 pct  Nasdaq 1.34 pct   (Adds details  changes comment  updates prices),normal
ADP,Automatic Data Processing Inc,20150805,FOREX-Dollar rises as U.S. services data support rate-hike view ,* Dollar index hits 3-1/2 month high on Lockhart Tues. interview,normal
ADP,Automatic Data Processing Inc,20150805,US STOCKS-Wall St rises as pvt jobs data eases rate hike worries ,* Nothing decided on timing of rate hike: Fed's Powell to CNBC,normal
ADP,Automatic Data Processing Inc,20150805,US STOCKS-Wall St set to open higher after pvt sector jobs data ,* Nothing decided on timing of rate hike: Fed's Powell tells CNBC,normal
BIIB,Biogen Inc,20150805,CVS strips Viagra  other top drugs  from insurance coverage ,Aug 5 CVS Health Corp  which operates the nation's second-biggest pharmacy benefit manager  said that next year it will exclude an additional 31 prescription medicines from insurance coverage  including Viagra and widely used treatments for diabetes and multiple sclerosis.,normal
CTSH,Cognizant Technology Solutions Corporation,20150805,Cognizant boosts forecast again after healthy quarter ,IT services provider Cognizant Technology Solutions Corp reported stronger-than-expected quarterly revenue and profit  as its business that serves the healthcare industry led the company's growth for the third quarter in a row.,topStory
CTSH,Cognizant Technology Solutions Corporation,20150805,Cognizant boosts forecast again after healthy quarter ,IT services provider Cognizant Technology Solutions Corp reported stronger-than-expected quarterly revenue and profit  as its business that serves the healthcare industry led the company's growth for the third quarter in a row.,normal
CTSH,Cognizant Technology Solutions Corporation,20150805,UPDATE 2-Cognizant boosts forecast again after healthy quarter ,* Shares rise as much as 9.6 pct   (Adds CEO comments  details  shares),normal
DISCA,Discovery Communications Inc,20150805,Discovery unlikely to buy back shares this year ,Discovery Communications Inc said it was unlikely to buy back any more shares this year as it looks to save cash and retain its credit rating  sending its shares down about 9 percent.,topStory
DISCA,Discovery Communications Inc,20150805,UPDATE 2-Discovery unlikely to buy back shares this year ,* Shares down about 9 pct   (Adds CFO comments from conference call; updates shares),normal
DISCA,Discovery Communications Inc,20150805,Discovery Communications revenue rises on distribution growth ,Aug 5 Discovery Communications Inc  the owner of the Discovery Channel and Animal Planet  reported a 2.7 percent rise in quarterly revenue  helped by growth in distribution revenue.,normal
DISCB,Discovery Communications Inc,20150805,Discovery unlikely to buy back shares this year ,Discovery Communications Inc said it was unlikely to buy back any more shares this year as it looks to save cash and retain its credit rating  sending its shares down about 9 percent.,topStory
DISCB,Discovery Communications Inc,20150805,UPDATE 2-Discovery unlikely to buy back shares this year ,* Shares down about 9 pct   (Adds CFO comments from conference call; updates shares),normal
DISCB,Discovery Communications Inc,20150805,Discovery Communications revenue rises on distribution growth ,Aug 5 Discovery Communications Inc  the owner of the Discovery Channel and Animal Planet  reported a 2.7 percent rise in quarterly revenue  helped by growth in distribution revenue.,normal
DISCK,Discovery Communications Inc,20150805,Discovery unlikely to buy back shares this year ,Discovery Communications Inc said it was unlikely to buy back any more shares this year as it looks to save cash and retain its credit rating  sending its shares down about 9 percent.,topStory
DISCK,Discovery Communications Inc,20150805,UPDATE 2-Discovery unlikely to buy back shares this year ,* Shares down about 9 pct   (Adds CFO comments from conference call; updates shares),normal
DISCK,Discovery Communications Inc,20150805,Discovery Communications revenue rises on distribution growth ,Aug 5 Discovery Communications Inc  the owner of the Discovery Channel and Animal Planet  reported a 2.7 percent rise in quarterly revenue  helped by growth in distribution revenue.,normal
DISH,DISH Network Corporation,20150805,Dish exploring next steps as it awaits airwaves discount decision ,Dish Network Corp  is figuring out next steps as it awaits a decision by U.S. regulators on its eligibility for a discount in a recent airwaves auction  executives said on Wednesday  after the company posted a significantly higher-than-expected quarterly profit.,topStory
DISH,DISH Network Corporation,20150805,UPDATE 3-Dish exploring next steps as it awaits airwaves discount decision ,* Avg. revenue $87.91/pay-TV user vs $84.15 year ago   (Recasts with Dish's options ahead of FCC decision on discounts  adds CEO quotes and details throughout),normal
DISH,DISH Network Corporation,20150805,Satellite TV company Dish's revenue rises 3.8 pct ,Aug 5 Dish Network Corp reported a 3.8 percent rise in quarterly revenue  helped by higher revenue per user from its core pay-TV business.,normal
ENPH,Enphase Energy Inc,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
ENPH,Enphase Energy Inc,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
EXPE,Expedia Inc,20150805,Priceline beats second-quarter profit estimates  sees solid third-quarter ,Priceline Group Inc  reported second-quarter profit above analysts' estimates on Wednesday  although weakness in foreign currencies against the U.S. dollar continued to weigh down results as well as its third-quarter outlook in dollar terms. | Video ,topStory
FSLR,First Solar Inc,20150805,US STOCKS-Tech leads Nasdaq  S&P 500; Disney sparks media selloff ,* First Solar rallies after earnings  guidance; Chesapeake tumbles,topStory
FSLR,First Solar Inc,20150805,US STOCKS-Tech leads Nasdaq  S&P 500; Disney sparks media selloff ,* Dow flat  S&P up 0.4 percent  Nasdaq up 0.8 percent   (Updates to early afternoon),normal
GAIN,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
GAIN,Gladstone Investment Corporation,20150805,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters August 5  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                *,normal
