AAPL,Apple Inc,20150819,IPhone design patent central to Apple-Samsung fight rejected ,The U.S. Patent and Trademark Office has found that a patent on an iPhone design that is key to a long-running smartphone battle between Apple and Samsung should not have been granted in the first place.,topStory
DEPO,Depomed Inc,20150819,Depomed rejects Horizon Pharma's offer for the third time ,Depomed Inc  rejected Horizon Pharma Plc's  takeover bid for the third time  reiterating that the offer undervalued the company.,topStory
DEPO,Depomed Inc,20150819,Depomed rejects Horizon Pharma's offer for the third time ,Aug 19 Depomed Inc rejected Horizon Pharma Plc's takeover bid for the third time  reiterating that the offer undervalued the company.,normal
ESRX,Express Scripts Holding Company,20150819,Wal-Mart's drug problem: pharmacy business drags on profit ,CHICAGO The world's largest retailer has a drug problem.,normal
ESRX,Express Scripts Holding Company,20150819,Wal-Mart's drug problem: pharmacy business drags on profit ,CHICAGO  Aug 18 The world's largest retailer has a drug problem.,normal
HZNP,Horizon Pharma plc,20150819,Depomed rejects Horizon Pharma's offer for the third time ,Depomed Inc  rejected Horizon Pharma Plc's  takeover bid for the third time  reiterating that the offer undervalued the company.,topStory
HZNP,Horizon Pharma plc,20150819,Depomed rejects Horizon Pharma's offer for the third time ,Aug 19 Depomed Inc rejected Horizon Pharma Plc's takeover bid for the third time  reiterating that the offer undervalued the company.,normal
INTL,INTL FCStone Inc,20150819,Swap dealing unit of INTL FCStone to pay $200 000 over compliance failures ,WASHINGTON The swap dealing unit of INTL FCStone will pay $200 000 to settle civil charges alleging it failed to diligently supervise traders in its Kansas City Energy Group  U.S. regulators said on Wednesday.,topStory
INTL,INTL FCStone Inc,20150819,Swap dealing unit of INTL FCStone to pay $200K over compliance failures ,WASHINGTON  Aug 19 The swap dealing unit of INTL FCStone will pay $200 000 to settle civil charges alleging it failed to diligently supervise traders in its Kansas City Energy Group  U.S. regulators said on Wednesday.,normal
NTAP,NetApp Inc,20150819,NetApp results beat estimates as cloud focus pays off ,Data storage equipment maker NetApp Inc  reported better-than-expected quarterly adjusted profit and revenue as its focus on cloud-based storage products starts to pay off.,topStory
NTAP,NetApp Inc,20150819,UPDATE 1-NetApp results beat estimates as cloud focus pays off ,Aug 19 Data storage equipment maker NetApp Inc  reported better-than-expected quarterly adjusted profit and revenue as its focus on cloud-based storage products starts to pay off.,normal
NTAP,NetApp Inc,20150819,NetApp first-quarter results beat analysts' estimates ,Aug 19 Data storage equipment maker NetApp Inc  reported better-than-expected quarterly adjusted profit and revenue as its focus on cloud-based storage products starts to pay off.,normal
UTHR,United Therapeutics Corporation,20150819,AbbVie buys special review voucher for $350 million ,AbbVie Inc has bought a priority review voucher from United Therapeutics Corp for $350 million that will allow it to accelerate the review process for one of its drugs.,topStory
UTHR,United Therapeutics Corporation,20150819,AbbVie buys special review voucher for $350 mln ,Aug 19 AbbVie Inc has bought a priority review voucher from United Therapeutics Corp for $350 million that will allow it to accelerate the review process for one of its drugs.,normal
ABBV,AbbVie Inc,20150819,AbbVie buys special review voucher for $350 million ,AbbVie Inc has bought a priority review voucher from United Therapeutics Corp for $350 million that will allow it to accelerate the review process for one of its drugs.,topStory
ABBV,AbbVie Inc,20150819,AbbVie buys special review voucher for $350 mln ,Aug 19 AbbVie Inc has bought a priority review voucher from United Therapeutics Corp for $350 million that will allow it to accelerate the review process for one of its drugs.,normal
BABA,Alibaba Group Holding Limited,20150819,Alibaba  Foxconn and SoftBank invest in Snapdeal ,MUMBAI/TAIPEI China's Alibaba Group Holding   Japan's SoftBank Group Corp  and Foxconn will lead an investment of $500 million in India's Snapdeal  the online marketplace said on Tuesday  as it seeks to expand in the country's fast growing ecommerce sector.,topStory
AEO,American Eagle Outfitters Inc,20150819,American Eagle's comparable sales forecast disappoints ,Teen apparel retailer American Eagle Outfitters Inc  said it expected third-quarter comparable store sales growth to be sharply lower than the big jump it reported in the second quarter  sending its shares down as much as 10.5 percent.,topStory
AEO,American Eagle Outfitters Inc,20150819,UPDATE 2-American Eagle's comparable sales forecast disappoints ,* Shares fall as much as 10.5 pct   (Adds analyst comment  updates shares),normal
AEO,American Eagle Outfitters Inc,20150819,CORRECTED-Teen apparel retailer American Eagle's sales rise 12 pct ,Aug 19 Teen apparel retailer American Eagle Outfitters Inc reported a 12.2 percent rise in quarterly sales  helped by fewer discounts and a broader offering of trendy merchandise.,normal
AUO,AU Optronics Corp,20150819,BRIEF-AU Optronics' subsidiary to purchase equipment from Screen Finetech  Ulvac ,* Says Kunshan subsidiary to purchase equipment worth T$1.57 billion  ($48.44 million),topStory
BK,Bank Of New York Mellon Corporation (The),20150819,Bank of NY Mellon sued by U.S. regulator over $2 bln in soured mortgages ,NEW YORK A U.S. regulator sued Bank of New York Mellon Corp on Wednesday over $2.06 billion in residential mortgage-backed securities purchased by a failed Texas bank  and accused it of breaching its duties as bond trustee to protect investors.,topStory
BK,Bank Of New York Mellon Corporation (The),20150819,Bank of NY Mellon sued by U.S. regulator over $2 billion in soured mortgages ,NEW YORK A U.S. regulator sued Bank of New York Mellon Corp  on Wednesday over $2.06 billion in residential mortgage-backed securities purchased by a failed Texas bank  and accused it of breaching its duties as bond trustee to protect investors.,normal
BK,Bank Of New York Mellon Corporation (The),20150819,UPDATE 3-Bank of NY Mellon sued by U.S. regulator over $2 bln in soured mortgages ,* Defendants are accused of shirking duties as bond trustees   (Adds US Bancorp response),normal
