ACRX,AcelRx Pharmaceuticals Inc,20150909,UPDATE 1-AcelRx Pharma's pain drug succeeds in late-stage study ,Sept 9 AcelRx Pharmaceuticals Inc said its experimental pain drug for patients undergoing abdominal surgery met the main goal in a late-stage study.,topStory
AMZN,Amazoncom Inc,20150909,UPDATE 2-Barnes & Noble sales fall for 5th straight quarter ,* Shares fall as much as 16.6 pct   (Repeats to fix formatting with no changes to text),normal
AMZN,Amazoncom Inc,20150909,Aerojet makes $2 billion offer for Lockheed-Boeing joint venture: sources ,WASHINGTON Aerojet Rocketdyne Holdings Inc  submitted a $2 cash billion offer to buy United Launch Alliance (ULA)  a satellite launch provider jointly held by Lockheed Martin Corp  and Boeing Co   sources familiar with the matter said Tuesday  a deal that would further consolidate the space business.,normal
AMZN,Amazoncom Inc,20150909,UPDATE 3-Aerojet makes $2 bln offer for Lockheed-Boeing joint venture -sources ,WASHINGTON  Sept 8 Aerojet Rocketdyne Holdings Inc submitted a $2 cash billion offer to buy United Launch Alliance (ULA)  a satellite launch provider jointly held by Lockheed Martin Corp and Boeing Co  sources familiar with the matter said Tuesday  a deal that would further consolidate the space business.,normal
AAPL,Apple Inc,20150909,Apple phone  tablet and TV fail to impress investors ,SAN FRANCISCO Apple Inc  unveiled a new TV set top box that responds to voice commands and fresh iPhones that sense the pressure of a finger tap  changes which underwhelmed many social media commenters and investors. | Video ,topStory
AAPL,Apple Inc,20150909,U.S. stocks slide  despite Asian gains; Apple weighs ,NEW YORK U.S. stocks fell on Wednesday  weighed down by a slide in Apple's share price and weakness in the energy sector  though European and major Asian bourses earlier ended higher.,normal
AAPL,Apple Inc,20150909,REFILE-GLOBAL MARKETS-U.S. stocks slide  despite Asian gains; Apple weighs ,NEW YORK  Sept 9 U.S. stocks fell on Wednesday  weighed down by a slide in Apple's share price and weakness in the energy sector  though European and major Asian bourses earlier ended higher.,normal
AAPL,Apple Inc,20150909,Wall St. falls 1 percent  led by Apple  energy sector ,U.S. stocks ended more than 1 percent lower on Wednesday after rallying the day before  led by declines in shares of Apple and energy companies  which fell with oil prices. | Video ,normal
AAPL,Apple Inc,20150909,Apple phone  tablet and TV fail to impress investors ,SAN FRANCISCO Apple Inc  unveiled a new TV set top box that responds to voice commands and fresh iPhones that sense the pressure of a finger tap  changes which underwhelmed many social media commenters and investors. | Video ,normal
AAPL,Apple Inc,20150909,UPDATE 4-Apple phone  tablet and TV fail to impress investors ,SAN FRANCISCO Sept 9 Apple Inc unveiled a new TV set top box that responds to voice commands and fresh iPhones that sense the pressure of a finger tap  changes which underwhelmed many social media commenters and investors.,normal
AAPL,Apple Inc,20150909,US STOCKS SNAPSHOT-Wall St falls 1 pct with Apple  energy declines ,Sept 9 U.S. stocks ended the day down more than one percent on Wednesday in another volatile session  led by a drop in Apple shares and a decline in energy shares.,normal
AAPL,Apple Inc,20150909,Apple unveils new iPhone 6S and 6S plus that recognises touch ,SAN FRANCISCO Apple Inc  unveiled the iPhone 6S and 6S plus on Wednesday  the latest iteration of its lucrative smartphone that offers 3D touch  a display technology that responds differently depending on how hard users press their screens. | Video ,normal
AAPL,Apple Inc,20150909,US STOCKS-Wall St falls with Apple  energy sector ,* Indexes down: Dow 0.9 pct  S&P 0.8 pct  Nasdaq 0.6 pct   (Updates to late afternoon),normal
AAPL,Apple Inc,20150909,Apple unveils new iPhone 6S and 6S plus that recognizes touch ,SAN FRANCISCO  Sept 9 Apple Inc  unveiled the iPhone 6S and 6S plus on Wednesday  the latest iteration of its lucrative smartphone that offers 3D touch  a display technology that responds differently depending on how hard users press their screens.,normal
