ADMA,ADMA Biologics Inc,20150930,BRIEF-Biotest continues cooperation with ADMA Biologics for RSV Hyperimmunoglobulin RI-002 ,* Continues cooperation with ADMA Biologics  Inc. for RSV Hyperimmunoglobulin RI-002,topStory
GOOG,Alphabet Inc,20150930,Hillary Clinton aides worried about private email use in 2011 ,NEW YORK/WASHINGTON A hacking attack on Google's Gmail service in 2011 prompted Hillary Clinton and her aides to worry about the security of private email accounts widely used by government officials who found their "antiquated" government-issued laptops inefficient.,topStory
GOOG,Alphabet Inc,20150930,UPDATE 2-Hillary Clinton aides worried about private email use in 2011 ,NEW YORK/WASHINGTON  Sept 30 A hacking attack on Google's Gmail service in 2011 prompted Hillary Clinton and her aides to worry about the security of private email accounts widely used by government officials who found their "antiquated" government-issued laptops inefficient.,normal
GOOG,Alphabet Inc,20150930,REFILE-UPDATE 1-Hillary Clinton aides worried about private email use in 2011 ,NEW YORK/WASHINGTON  Sept 30 A 2011 hacking attack of Google Inc's Gmail prompted Hillary Clinton and her top aides to worry about "antiquated" government-issued laptops and the security of private email accounts widely used by government officials.,normal
GOOGL,Alphabet Inc,20150930,Hillary Clinton aides worried about private email use in 2011 ,NEW YORK/WASHINGTON A hacking attack on Google's Gmail service in 2011 prompted Hillary Clinton and her aides to worry about the security of private email accounts widely used by government officials who found their "antiquated" government-issued laptops inefficient.,topStory
GOOGL,Alphabet Inc,20150930,UPDATE 2-Hillary Clinton aides worried about private email use in 2011 ,NEW YORK/WASHINGTON  Sept 30 A hacking attack on Google's Gmail service in 2011 prompted Hillary Clinton and her aides to worry about the security of private email accounts widely used by government officials who found their "antiquated" government-issued laptops inefficient.,normal
GOOGL,Alphabet Inc,20150930,REFILE-UPDATE 1-Hillary Clinton aides worried about private email use in 2011 ,NEW YORK/WASHINGTON  Sept 30 A 2011 hacking attack of Google Inc's Gmail prompted Hillary Clinton and her top aides to worry about "antiquated" government-issued laptops and the security of private email accounts widely used by government officials.,normal
AMZN,Amazoncom Inc,20150930,MEDIA-Amazon UK services denies breaking UK air transport rules -FT ,-- Note: Reuters has not verified this story and does not vouch for its accuracy,topStory
AAL,American Airlines Group Inc,20150930,American Airlines  union reach tentative deal to hike gate agents' pay ,American Airlines Group Inc  said Wednesday that it agreed to a tentative contract with the association representing its reservations and gate agents that provides for "significant pay raises.",topStory
AAL,American Airlines Group Inc,20150930,American Airlines  union reach tentative deal to hike gate agents' pay ,Sept 30 American Airlines Group Inc said Wednesday that it agreed to a tentative contract with the association representing its reservations and gate agents that provides for "significant pay raises.",normal
AAPL,Apple Inc,20150930,Carl Icahn says would 'keep cash' given market risks: CNBC ,NEW YORK Billionaire activist investor Carl Icahn said on Wednesday he would recommend investors hold cash given market risks and that he was "seriously considering" buying "a lot more" shares of Apple Inc.,topStory
AAPL,Apple Inc,20150930,UPDATE 1-Carl Icahn says would 'keep cash' given market risks - CNBC ,NEW YORK  Sept 30 Billionaire activist investor Carl Icahn said on Wednesday he would recommend investors hold cash given market risks and that he was "seriously considering" buying "a lot more" shares of Apple Inc.,normal
AAPL,Apple Inc,20150930,Carl Icahn says would 'keep cash' given market risks -CNBC ,NEW YORK  Sept 30 Billionaire activist investor Carl Icahn said on Wednesday that he would recommend investors hold cash given market risks and that he was considering buying "a lot more" shares of Apple Inc..,normal
AAPL,Apple Inc,20150930,Average Apple Watch sells for $529  at top end of estimates: report ,Apple Inc’s  new Watch sells for an average of $529  including accessories  at the high end of Wall Street estimates  according to findings by research firm Wristly.,normal
AAPL,Apple Inc,20150930,Average Apple Watch sells for $529  at top end of estimates -report ,Sept 30 Apple Inc's new Watch sells for an average of $529  including accessories  at the high end of Wall Street estimates  according to findings by research firm Wristly.,normal
AAPL,Apple Inc,20150930,Apple launches Apple Music in China ,Apple Inc launched Apple Music along with iTunes Movies and iBooks in China and said the cloud-based music streaming service will roll out on Android phones this fall.,normal
AAPL,Apple Inc,20150930,Apple launches Apple Music in China ,Sept 29 Apple Inc launched Apple Music along with iTunes Movies and iBooks in China and said the cloud-based music streaming service will roll out on Android phones this fall.,normal
ADP,Automatic Data Processing Inc,20150930,U.S. jobs sector gains  Midwest manufacturing stumbles ,NEW YORK U.S. companies hired workers at a solid clip in September  but data showed factory activity in the U.S. Midwest contracted  muddying the economic picture for the Federal Reserve on whether to raise interest rates later this year.,topStory
CENX,Century Aluminum Company,20150930,UPDATE 1-Century Aluminum will keep 2 potlines at Hawesville smelter open ,NEW YORK  Sept 30 Century Aluminum Co  which is owned by Glencore PLC  said on Wednesday it will keep two potlines at its Hawesville  Kentucky  smelter operating  a partial retreat from its plan to shutter the plant completely.,topStory
CENX,Century Aluminum Company,20150930,Century Aluminum will keep 2 potlines at Hawesville smelter open ,NEW YORK  Sept 30 Century Aluminum Co  which is owned by Glencore PLC  said on Wednesday it will keep two potlines at its Hawesville  Kentucky  smelter operating  a partial retreat from its plan to shutter the plant completely.,normal
COST,Costco Wholesale Corporation,20150930,UPDATE 1-Costco comparable-store sales fall 1 pct  revenue misses estimates ,Sept 29 Costco Wholesale Corp reported a fall in comparable-store sales for a second straight quarter and lower-than-expected revenue as a stronger dollar reduced the value of sales from overseas markets.,topStory
COST,Costco Wholesale Corporation,20150930,Costco fourth-quarter comparable-store sales fall 1 percent ,Costco Wholesale Corp  reported a fall in comparable-store sales for a second straight quarter as a stronger dollar reduced the value of sales from overseas markets.,normal
COST,Costco Wholesale Corporation,20150930,Costco 4th-quarter comparable-store sales fall 1 pct ,Sept 29 Costco Wholesale Corp reported a fall in comparable-store sales for a second straight quarter as a stronger dollar reduced the value of sales from overseas markets.,normal
DIOD,Diodes Incorporated,20150930,China's Montage Technology to buy Pericom in $430 million deal ,China's analog chip maker Montage Technology Group Ltd said it has offered to buy Pericom Semiconductor Corp in a deal valued at about $430 million  trumping an offer from Diodes Inc earlier this month.,topStory
ESRX,Express Scripts Holding Company,20150930,New cholesterol drugs won't be budget busters: Express Scripts ,NEW YORK Express Scripts Holding Co said on Wednesday two costly new cholesterol fighters will not be "budget busters" for its clients and that most prescriptions for the potent drugs have been rejected because patients did not meet required medical criteria.,topStory
ESRX,Express Scripts Holding Company,20150930,UPDATE 2-New cholesterol drugs won't be budget busters -Express Scripts ,NEW YORK  Sept 30 Express Scripts Holding Co  said on Wednesday two costly new cholesterol fighters will not be "budget busters" for its clients and that most prescriptions for the potent drugs have been rejected because patients did not meet required medical criteria.,normal
ESRX,Express Scripts Holding Company,20150930,Express Scripts says Praluent  Repatha will not be "budget busters" ,Sept 30 Express Scripts Holding Co said on Wednesday two costly new potent cholesterol fighters will not be "budget busters" for its clients and that most prescriptions for the drugs have been rejected because patients did not meet required medical criteria.,normal
IART,Integra LifeSciences Holdings Corporation,20150930,UPDATE 1-Wright Medical Group  Tornier win U.S. approval to merge ,WASHINGTON  Sept 30 Wright Medical Group  and Tornier NV have won U.S. antitrust approval for their merger on condition that they sell certain assets related to replacement ankle and toe joints  the Federal Trade Commission said on Wednesday.,topStory
MDWD,MediWound Ltd,20150930,Israel's MediWound signs $112 million deal in U.S. for burn treatment ,JERUSALEM Israel-based MediWound has signed a five-year  $112 million contract with the U.S. authority that handles public health medical emergencies to further develop and buy the company's drug treatment for severe burns.,topStory
MDWD,MediWound Ltd,20150930,Israel's MediWound signs $112 mln deal in U.S. for burn treatment ,JERUSALEM  Sept 30 Israel-based MediWound  has signed a five-year  $112 million contract with the U.S. authority that handles public health medical emergencies to further develop and buy the company's drug treatment for severe burns.,normal
MLNX,Mellanox Technologies Ltd,20150930,Israel's Mellanox to buy EZchip for $811 million ,TEL AVIV Israeli chip designer Mellanox Technologies Ltd has agreed to acquire network communications chip maker EZchip Semiconductor Ltd for $811 million as it expands its product portfolio for high-performance computing.,topStory
MLNX,Mellanox Technologies Ltd,20150930,UPDATE 2-Israel's Mellanox to buy EZchip for $811 mln ,* Offer price of $25.50 a 16 pct premium to EZchip's Tuesday close,normal
MLNX,Mellanox Technologies Ltd,20150930,Chip designer Mellanox to buy EZchip in $811 mln deal ,Sept 30 Chip designer Mellanox Technologies Ltd  said it would acquire network-processing chip maker EZchip Semiconductor Ltd  in a deal valued at $811 million.,normal
MLNX,Mellanox Technologies Ltd,20150930,EZchip shares halted after reports of acquisition by Mellanox ,TEL AVIV  Sept 30 Trade in shares in Israel's EZchip Semiconductor was suspended on Wednesday after the company said it would make a significant announcement later in the day.,normal
MLNX,Mellanox Technologies Ltd,20150930,BRIEF-Trading in EZchip shares halted in Tel Aviv ,* Trade in EZchip Semiconductor shares halted in Tel Aviv pending "significant" announcement,normal
NXST,Nexstar Media Group Inc,20150930,Activist investor Starboard builds 3.7 pct stake in Advance Auto-WSJ ,Sept 30 Activist investor Starboard Value LP has built a 3.7 percent stake in automotive parts maker Advance Auto Parts Inc  the Wall Street Journal reported.,normal
SEED,Origin Agritech Limited,20150930,UPDATE 1-Australia's Origin seeks to raise $1.8 bln to ease oil price pain ,* Australia Pacific LNG still seen profitable   (Adds CEO  analyst comments),topStory
RYAAY,Ryanair Holdings plc,20150930,BRIEF-lastminute.com says supreme court of Spain rejects cassation appeal motion by Ryanair against Rumbo ,* Supreme court of Spain rejected cassation appeal motion by Ryanair against online travel agency Rumbo  a Spanish subsidiary of the group  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
SYNL,Synalloy Corporation,20150930,Synalloy  others seek dumping duties on Indian steel pipes ,Steel products maker Synalloy Corp and its U.S. competitors have urged regulators to apply anti-dumping duties on welded stainless pressure pipes from India  the company said.,topStory
SYNL,Synalloy Corporation,20150930,UPDATE 1-Synalloy  others seek dumping duties on Indian steel pipes ,Sept 30 Steel products maker Synalloy Corp  and its U.S. competitors have urged regulators to apply anti-dumping duties on welded stainless pressure pipes from India  the company said.,normal
SYNL,Synalloy Corporation,20150930,Synalloy  others seek anti-dumping duties on Indian steel pipes ,Sept 30 Steel products and chemical maker Synalloy Corp said it and other companies have urged U.S. regulators to apply anti-dumping duties on welded stainless pressure pipes from India.,normal
SYNA,Synaptics Incorporated,20150930,Chipmaker Synaptics rejects Chinese firm's offer: Bloomberg ,Touchscreen chip maker Synaptics Inc rejected an offer from a Chinese investment group valuing the company at nearly $4 billion  Bloomberg reported on Wednesday.,topStory
SYNA,Synaptics Incorporated,20150930,UPDATE 2-Chipmaker Synaptics rejects Chinese firm's offer - Bloomberg ,Sept 30 Touchscreen chip maker Synaptics Inc  rejected an offer from a Chinese investment group valuing the company at nearly $4 billion  Bloomberg reported on Wednesday.,normal
SYNA,Synaptics Incorporated,20150930,Chipmaker Synaptics rejects Chinese firm's offer - Bloomberg ,Sept 30 Touchscreen chip maker Synaptics Inc  rejected an offer from a Chinese investment group that valued the company at nearly $4 billion  Bloomberg reported on Wednesday.,normal
TSLA,Tesla Inc ,20150930,Tesla delivers Model X electric SUV to take on luxury carmakers ,FREMONT  Calif. Tesla Motors delivered the first of its long-awaited Model X electric sports-utility vehicles on Tuesday  a product investors are counting on to make the pioneering company profitable after years of losses. | Video ,topStory
TSLA,Tesla Inc ,20150930,REFILE-Tesla delivers Model X electric SUV to take on luxury carmakers ,FREMONT  Calif.  Sept 29 Tesla Motors  delivered the first of its long-awaited Model X electric sports-utility vehicles on Tuesday  a product investors are counting on to make the pioneering company profitable after years of losses.,normal
TSCO,Tractor Supply Company,20150930,Tractor Supply settles with regulators over clean air violations ,Tractor Supply Co Inc has reached a settlement with U.S. regulators over allegations that the retailer imported and sold vehicles and engines from China that did not comply with clean air and emission information labeling rules.,topStory
TSCO,Tractor Supply Company,20150930,Tractor Supply settles with regulators over clean air violations ,Sept 30 Tractor Supply Co Inc has reached a settlement with U.S. regulators over allegations that the retailer imported and sold vehicles and engines from China that did not comply with clean air and emission information labeling rules.,normal
FOX,Twenty-First Century Fox Inc,20150930,News Corp sells digital education brand Amplify ,News Corp said it sold its digital education brand  Amplify  to a management team supported by a group of private investors following slowing growth in the digital curriculum market.,topStory
FOX,Twenty-First Century Fox Inc,20150930,News Corp sells digital education brand Amplify ,Sept 30 News Corp said it sold its digital education brand  Amplify  to a management team supported by a group of private investors following slowing growth in the digital curriculum market.,normal
FOXA,Twenty-First Century Fox Inc,20150930,News Corp sells digital education brand Amplify ,News Corp said it sold its digital education brand  Amplify  to a management team supported by a group of private investors following slowing growth in the digital curriculum market.,topStory
FOXA,Twenty-First Century Fox Inc,20150930,News Corp sells digital education brand Amplify ,Sept 30 News Corp said it sold its digital education brand  Amplify  to a management team supported by a group of private investors following slowing growth in the digital curriculum market.,normal
VIA,Viacom Inc,20150930,MTV names Sean Atkins as president ,MTV  the music and reality-TV focused television network owned by Viacom Inc  on Wednesday named veteran media executive Sean Atkins as its president.,topStory
VIA,Viacom Inc,20150930,UPDATE 1-MTV names Sean Atkins as president ,Sept 30 MTV  the music and reality-TV focused television network owned by Viacom Inc  on Wednesday named veteran media executive Sean Atkins as its president.,normal
VIA,Viacom Inc,20150930,MTV names Sean Atkins as president ,Sept 30 MTV  a unit of Viacom Inc  named on Wednesday Sean Atkins as its president.,normal
VIAB,Viacom Inc,20150930,MTV names Sean Atkins as president ,MTV  the music and reality-TV focused television network owned by Viacom Inc  on Wednesday named veteran media executive Sean Atkins as its president.,topStory
VIAB,Viacom Inc,20150930,UPDATE 1-MTV names Sean Atkins as president ,Sept 30 MTV  the music and reality-TV focused television network owned by Viacom Inc  on Wednesday named veteran media executive Sean Atkins as its president.,normal
VIAB,Viacom Inc,20150930,MTV names Sean Atkins as president ,Sept 30 MTV  a unit of Viacom Inc  named on Wednesday Sean Atkins as its president.,normal
