ALKS,Alkermes plc,20151005,Alkermes' schizophrenia drug Aristada gets FDA nod ,The U.S. Food and Drug Administration on Monday approved Alkermes Plc's longer-acting injectable version of blockbuster schizophrenia pill Abilify  making the treatment available in two doses.,topStory
GOOG,Alphabet Inc,20151005,Russia says Google must correct contracts with mobile manufacturers by November 18 ,MOSCOW Russia's anti-monopoly agency said on Monday that Google Inc had until Nov. 18 to address charges that it was abusing its market position in the country.,topStory
GOOG,Alphabet Inc,20151005,UPDATE 1-Russia says Google must correct contracts with mobile manufacturers by Nov 18 ,MOSCOW  Oct 5 Russia's anti-monopoly agency said on Monday that Google Inc had until Nov. 18 to address charges that it was abusing its market position in the country.,normal
GOOG,Alphabet Inc,20151005,Google takes stake in Wall Street-backed chat company Symphony - WSJ ,Oct 5 Google  which has now morphed into holding company Alphabet Inc  took a stake in Symphony Communication Services LLC in a fundraising round that values the messaging startup at $650 million  the Wall Street Journal reported.,normal
GOOG,Alphabet Inc,20151005,Russia says Google must correct contracts with mobile manufacturers by Nov 18 - IFX ,MOSCOW  Oct 5 Russia's anti-monopoly agency said on Monday that Google Inc must correct its contracts with mobile manufacturers by Nov. 18  Interfax news agency reported.,normal
GOOG,Alphabet Inc,20151005,U.S. top court rejects I/P Engine's bid to restore $30 million patent verdict ,WASHINGTON The U.S. Supreme Court on Monday rejected an appeal by Vringo Inc subsidiary I/P Engine  which was seeking to restore a $30 million patent infringement verdict it won against several companies including Google Inc.,normal
GOOG,Alphabet Inc,20151005,U.S. top court rejects I/P Engine's bid to restore $30 million patent verdict ,WASHINGTON The U.S. Supreme Court on Monday rejected an appeal by Vringo Inc subsidiary I/P Engine  which was seeking to restore a $30 million patent infringement verdict it won against several companies including Google Inc.,normal
GOOG,Alphabet Inc,20151005,UPDATE 1-U.S. top court rejects I/P Engine's bid to restore $30 million patent verdict ,WASHINGTON  Oct 5 The U.S. Supreme Court on Monday rejected an appeal by Vringo Inc subsidiary I/P Engine  which was seeking to restore a $30 million patent infringement verdict it won against several companies including Google Inc.,normal
GOOG,Alphabet Inc,20151005,Shares of Alphabet  the new Google  rise slightly in early trade ,Shares of Alphabet Inc  the new umbrella company for Google Inc  rose slightly in their first few minutes of trading on Monday.,normal
GOOG,Alphabet Inc,20151005,Shares of Alphabet  the new Google  rise slightly in early trade ,Oct 5 Shares of Alphabet Inc   the new umbrella company for Google Inc  rose slightly in their first few minutes of trading on Monday.,normal
GOOGL,Alphabet Inc,20151005,Russia says Google must correct contracts with mobile manufacturers by November 18 ,MOSCOW Russia's anti-monopoly agency said on Monday that Google Inc had until Nov. 18 to address charges that it was abusing its market position in the country.,topStory
GOOGL,Alphabet Inc,20151005,UPDATE 1-Russia says Google must correct contracts with mobile manufacturers by Nov 18 ,MOSCOW  Oct 5 Russia's anti-monopoly agency said on Monday that Google Inc had until Nov. 18 to address charges that it was abusing its market position in the country.,normal
GOOGL,Alphabet Inc,20151005,Google takes stake in Wall Street-backed chat company Symphony - WSJ ,Oct 5 Google  which has now morphed into holding company Alphabet Inc  took a stake in Symphony Communication Services LLC in a fundraising round that values the messaging startup at $650 million  the Wall Street Journal reported.,normal
