AMGN,Amgen Inc,20151013,Merck cholesterol drug's odds dim after Lilly failure ,Oct 12 The odds that Merck & Co's  high-stakes cholesterol drug will succeed have dropped dramatically after Eli Lilly and Co said its similar medicine failed to reduce heart attacks and strokes  top U.S. heart doctors said.,normal
AAPL,Apple Inc,20151013,Apple loses patent lawsuit to Univ. of Wisconsin  faces hefty damages ,NEW YORK Apple Inc could be facing up to $862 million in damages after a U.S. jury on Tuesday found the iPhone maker used technology owned by the University of Wisconsin-Madison's licensing arm without permission in chips found in many of its most popular devices.,topStory
AAPL,Apple Inc,20151013,Apple loses patent lawsuit to University of Wisconsin  faces hefty damages ,NEW YORK Apple Inc could be facing up to $862 million in damages after a U.S. jury on Tuesday found the iPhone maker used technology owned by the University of Wisconsin-Madison's licensing arm without permission in chips found in many of its most popular devices.,normal
AAPL,Apple Inc,20151013,UPDATE 1-Apple loses patent lawsuit to Univ. of Wisconsin  faces hefty damages ,NEW YORK  Oct 13 Apple Inc could be facing up to $862 million in damages after a U.S. jury on Tuesday found the iPhone maker used technology owned by the University of Wisconsin-Madison's licensing arm without permission in chips found in many of its most popular devices.,normal
AAPL,Apple Inc,20151013,Federal Circuit greenlights $548 million Samsung payout to Apple ,Apple is another step closer to finally receiving the more than $548 million it is owed by Samsung for infringing its patents and designs on the iPhone  after a last-ditch effort to hold off the payment failed on Tuesday in the nation's top patent court.,normal
AAPL,Apple Inc,20151013,U.S. judge says Apple e-books antitrust monitor's term to end ,NEW YORK A U.S. judge on Tuesday agreed to not extend the term of a court-appointed monitor assigned to review Apple Inc's antitrust compliance program despite the difficult environment the monitor faced in dealing with the iPad maker.,normal
AAPL,Apple Inc,20151013,U.S. judge says Apple e-books antitrust monitor's term to end ,NEW YORK A U.S. judge on Tuesday agreed to not extend the term of a court-appointed monitor assigned to review Apple Inc's antitrust compliance program despite the difficult environment the monitor faced in dealing with the iPad maker.,normal
AAPL,Apple Inc,20151013,UPDATE 1-U.S. judge says Apple e-books antitrust monitor's term to end ,NEW YORK  Oct 13 A U.S. judge on Tuesday agreed to not extend the term of a court-appointed monitor assigned to review Apple Inc's antitrust compliance program despite the difficult environment the monitor faced in dealing with the iPad maker.,normal
AAPL,Apple Inc,20151013,Reuters Business News Schedule at 1230 GMT/0830 AM ET ,BRUSSELS/LONDON - The world's two biggest brewers agree to create a company making almost a third of the world's beer after SABMiller accepted an offer worth more than $100 billion from larger rival Anheuser-Busch InBev. (SABMILLER-M&A/A B I (UPDATE 5)  moving shortly  by Philip Blenkinsop and Martinne Geller  830 words),normal
AAPL,Apple Inc,20151013,U.S. says Apple e-books antitrust monitor no longer needed ,NEW YORK  Oct 13 The U.S. Justice Department has determined that Apple Inc has implemented significant improvements to its antitrust compliance program and that a court-appointed monitor's term does not need extended  according to a court filing.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20151013,Barclays set to name former JPMorgan banker Staley as new CEO ,NEW YORK/LONDON British bank Barclays PLC is close to naming former JPMorgan Chase banker Jes Staley as chief executive  signaling a renewed focus on an investment banking division that has been pared back over the past three years. | Video ,topStory
