ALIM,Alimera Sciences Inc,20160216,DEALTALK-Market turmoil drives small biotechs to big pharma ,Feb 16 Numerous small biotechnology companies have been all but shut out of the capital markets  leaving many with no choice but to consider a sale to larger peers.,normal
AMZN,Amazoncom Inc,20160216,Amazon acquires Indian payments processor Emvantage ,MUMBAI Amazon.com Inc  said it has acquired Indian payments processor Emvantage Payments Pvt Ltd for an undisclosed sum.,topStory
AMZN,Amazoncom Inc,20160216,Amazon acquires Indian payments processor Emvantage ,MUMBAI Amazon.com Inc said it has acquired Indian payments processor Emvantage Payments Pvt Ltd for an undisclosed sum.,normal
AMZN,Amazoncom Inc,20160216,Amazon acquires Indian payments processor Emvantage ,MUMBAI  Feb 16 Amazon.com Inc said it has acquired Indian payments processor Emvantage Payments Pvt Ltd for an undisclosed sum.,normal
AAPL,Apple Inc,20160216,Icahn  Einhorn's Greenlight slash Apple stakes amid fourth-quarter share decline ,BOSTON Several big hedge fund backers of Apple Inc   including billionaire activist investor Carl Icahn and David Einhorn's Greenlight Capital  trimmed their stakes in the fourth quarter amid a decline in the value of the iPhone maker's shares.,topStory
AAPL,Apple Inc,20160216,UPDATE 1-Icahn  Einhorn's Greenlight slash Apple stakes amid Q4 share decline ,BOSTON  Feb 16 Several big hedge fund backers of Apple Inc  including billionaire activist investor Carl Icahn and David Einhorn's Greenlight Capital  trimmed their stakes in the fourth quarter amid a decline in the value of the iPhone maker's shares.,normal
AAPL,Apple Inc,20160216,TREASURIES-U.S. bonds fall on stock rally  corporate supply ,* U.S. data support view of slowing economic growth   (Updates market action  adds quote),normal
AAPL,Apple Inc,20160216,Hedge funds trimmed Apple stakes during 4th-qtr share decline ,BOSTON  Feb 16 Several large U.S. hedge funds trimmed their stakes in Apple Inc during the fourth quarter amid a decline in the value of shares of the iPhone maker.,normal
AAPL,Apple Inc,20160216,Apple Pay to go live in China on Feb 18 ,BEIJING Apple Inc's  Apple Pay mobile payment system will be available in China from Feb. 18 for Industrial and Commercial Bank of China Ltd (ICBC)  customers  bank representatives said in social media posts on Tuesday.,normal
AAPL,Apple Inc,20160216,UPDATE 1-Apple Pay to go live in China on Feb 18 ,* Apple Pay still seeking traction in some countries   (Adds Apple response  industry context),normal
AAPL,Apple Inc,20160216,China's ICBC says will start accepting Apple Pay on Feb 18 ,BEIJING  Feb 16 Apple Inc's Apple Pay mobile payment system will be available in China for Industrial and Commercial Bank of China Ltd  customers from Feb. 18  spokespeople for the bank said in a social media post.,normal
CSCO,Cisco Systems Inc,20160216,Cisco inks cloud sales deal with Pivotal ,SAN FRANCISCO Cisco Systems Inc  has struck a deal with Pivotal Software Inc to offer each other's products in the cloud arena  a sign the giant network company is looking to work with others as it tries to build its presence in one of the fastest-growing areas of computing.,topStory
CSCO,Cisco Systems Inc,20160216,Cisco inks cloud sales deal with Pivotal ,SAN FRANCISCO  Feb 16 Cisco Systems Inc  has struck a deal with Pivotal Software Inc to offer each other's products in the cloud arena  a sign the giant network company is looking to work with others as it tries to build its presence in one of the fastest-growing areas of computing.,normal
EXXI,Energy XXI Gulf Coast Inc,20160216,Mount Kellett's oil and gas woes continue with Energy XXI ,NEW YORK  Feb 16 Mount Kellett Capital Management was still among the largest shareholders of Energy XXI at year-end  according to a filing with U.S. regulators  as the fund's woes in the oil and gas sector continue to mount.,topStory
EXXI,Energy XXI Gulf Coast Inc,20160216,UPDATE 1-Energy XXI to delay interest payment due Tuesday ,Feb 16 Oil and natural gas producer Energy XXI Ltd said it would not make an interest payment due on Tuesday  to continue talks with debtholders related to its capital structure improvement.,normal
EXXI,Energy XXI Gulf Coast Inc,20160216,Energy XXI to delay interest payment due Tuesday ,Feb 16 Oil and natural gas producer Energy XXI Ltd said it chose not to make an interest payment due on Tuesday  to continue talks with its debtholders related to alternatives to improve its capital structure.,normal
FLXN,Flexion Therapeutics Inc,20160216,Flexion's pain drug succeeds in study  shares soar ,Flexion Therapeutics Inc's pain drug was found to be effective in a late-stage study  taking the company one step closer to its first ever U.S. marketing approval.,topStory
FLXN,Flexion Therapeutics Inc,20160216,UPDATE 2-Flexion's pain drug succeeds in study  shares soar ,Feb 16 Flexion Therapeutics Inc's pain drug was found to be effective in a late-stage study  taking the company one step closer to its first ever U.S. marketing approval.,normal
GILD,Gilead Sciences Inc,20160216,FDA expands use of Gilead's liver drug to rare subset of patients ,The U.S. Food and Drug Administration has expanded the use of Gilead Sciences Inc's blockbuster drug Harvoni to some hepatitis C patients in the advanced stage of cirrhosis  including those who have undergone liver transplant.,topStory
GILD,Gilead Sciences Inc,20160216,FDA expands use of Gilead's liver drug to rare subset of patients ,Feb 16 The U.S. Food and Drug Administration has expanded the use of Gilead Sciences Inc's blockbuster drug Harvoni to some hepatitis C patients in the advanced stage of cirrhosis  including those who have undergone liver transplant.,normal
ISNS,Image Sensing Systems Inc,20160216,BRIEF-Your Image Q4 net result turns to loss of 17 523 zlotys ,* Said on Monday that it reported Q4 revenue of 224 617 zlotys  ($56 923) versus 248 505 zlotys a year ago,topStory
INTC,Intel Corporation,20160216,Coca-Cola hopes to refresh corporate Kangaroo market ,SYDNEY  Feb 16 (IFR) - The Coca-Cola Company  (Aa3/AA/A+) looks set to provide the first real test of the year for the corporate Kangaroo market  having mandated Deutsche Bank to arrange investor meetings from March 7 for a potential debut trade.,normal
LAMR,Lamar Advertising Company,20160216,Lamar shut out as Swift  Sheeran  Mars win top Grammy awards ,LOS ANGELES Rapper Kendrick Lamar led the Grammy winners on Monday with five wins but was shut out of the night's top categories as Taylor Swift nabbed album of the year in an upset victory. | Video ,topStory
LAMR,Lamar Advertising Company,20160216,Lamar shut out as Swift  Sheeran  Mars win top Grammy awards ,LOS ANGELES Rapper Kendrick Lamar led the Grammy winners on Monday with five wins but was shut out of the night's top categories as Taylor Swift nabbed album of the year in an upset victory. | Video ,normal
LBTYA,Liberty Global plc,20160216,Vodafone  Liberty agree on Dutch joint venture ,Feb 15 UK phone network operator Vodafone Plc  and John Malone's cable company Liberty Global Plc  agreed on Monday to combine their operations in the Netherlands by creating a joint venture.,topStory
LBTYA,Liberty Global plc,20160216,European shares fall after oil output deal disappoints ,* Telecom Italia slumps after profit miss   (Adds closing prices  details),normal
LBTYA,Liberty Global plc,20160216,European shares fall after oil output deal disappoints ,* Banks under pressure as JP Morgan suggest not to buy   (Adds details  updates prices),normal
LBTYA,Liberty Global plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
LBTYA,Liberty Global plc,20160216,European shares edge lower as bank stocks fall; oils off highs ,LONDON/MILAN  Feb 16 European shares edged lower on Tuesday  with banking stocks again under pressure after a short rebound  while oil companies came off earlier highs on disappointment over a deal to tackle a global supply glut.,normal
LBTYA,Liberty Global plc,20160216,Vodafone ties up with Liberty in Dutch deal to take on KPN ,AMSTERDAM/LONDON Mobile telecoms network operator Vodafone  and cable company Liberty Global  have agreed to combine their Dutch operations to create a stronger package of TV  broadband Internet and mobile  aiming to better take on former incumbent KPN .,normal
LBTYA,Liberty Global plc,20160216,European shares steady as oil companies rise ,* FTSEurofirst 300 steady after 6 pct rise in last 2 sessions,normal
