FCCY,1st Constitution Bancorp (NJ),20160422,BRIEF-1st Constitution Bancorp Q1 earnings per share $0.27 ,* 1St Constitution Bancorp reports first quarter 2016 results,topStory
ATVI,Activision Blizzard Inc,20160422,BRIEF-Activision blizzard announces CEO Robert Kotick's 2015 compensation ,* CEO Robert A. Kotick 's 2015 total compensation was $7.2 million versus $6.9 million in 2014 - sec filing,topStory
GOOG,Alphabet Inc,20160422,BRIEF-Moody's comments on EU's antitrust charges against Alphabet ,* Moody's says the European Union's new antitrust charges against Alphabet will not likely impact its AA2 credit ratings,topStory
GOOG,Alphabet Inc,20160422,US STOCKS-Wall Street ends flat; Alphabet and Microsoft tumble ,* Alphabet has worst day since 2012; Microsoft drags on indexes,normal
GOOG,Alphabet Inc,20160422,US STOCKS-Wall Street mixed as Alphabet  Microsoft tumble ,* Indexes: Dow +0.04 pct  S&P -0.12 pct  Nasdaq -0.99 pct   (Updates to afternoon),normal
GOOG,Alphabet Inc,20160422,Microsoft  Google agree to drop complaints against each other ,Microsoft Corp and Alphabet Inc's  Google have reached a deal to withdraw all the regulatory complaints against each other  the companies told Reuters.,normal
GOOG,Alphabet Inc,20160422,Microsoft  Google agree to drop complaints against each other ,Microsoft Corp and Alphabet Inc's Google have reached a deal to withdraw all the regulatory complaints against each other  the companies told Reuters.,normal
GOOG,Alphabet Inc,20160422,Microsoft  Google agree to drop complaints against each other ,April 22 Microsoft Corp and Alphabet Inc's Google have reached a deal to withdraw all the regulatory complaints against each other  the companies told Reuters.,normal
GOOGL,Alphabet Inc,20160422,BRIEF-Moody's comments on EU's antitrust charges against Alphabet ,* Moody's says the European Union's new antitrust charges against Alphabet will not likely impact its AA2 credit ratings,topStory
GOOGL,Alphabet Inc,20160422,US STOCKS-Wall Street ends flat; Alphabet and Microsoft tumble ,* Alphabet has worst day since 2012; Microsoft drags on indexes,normal
GOOGL,Alphabet Inc,20160422,US STOCKS-Wall Street mixed as Alphabet  Microsoft tumble ,* Indexes: Dow +0.04 pct  S&P -0.12 pct  Nasdaq -0.99 pct   (Updates to afternoon),normal
