VNET,21Vianet Group Inc,20160523,BRIEF-21Vianet announces US$388 million investment from Tus-Holdings ,* 21Vianet announces us$388 million investment from tus-holdings,topStory
AGLE,Aeglea BioTherapeutics Inc,20160523,BRIEF-Aeglea Biotherapeutics receives FDA fast track designation for AEB1102 ,* Aeglea Biotherapeutics receives FDA fast track designation for AEB1102 for treatment of patients with hyperargininemia secondary to Arginase I deficiency,topStory
AGNC,AGNC Investment Corp,20160523,BRIEF-American capital Agency Corp to acquire its external manager ,* Following closing of transaction  AGNC will no longer pay management fees  which totaled $27 million in q1 of 2016,topStory
AGNCB,AGNC Investment Corp,20160523,BRIEF-American capital Agency Corp to acquire its external manager ,* Following closing of transaction  AGNC will no longer pay management fees  which totaled $27 million in q1 of 2016,topStory
AGNCN,AGNC Investment Corp,20160523,BRIEF-American capital Agency Corp to acquire its external manager ,* Following closing of transaction  AGNC will no longer pay management fees  which totaled $27 million in q1 of 2016,topStory
AKTX,Akari Therapeutics Plc,20160523,BRIEF-Akari Therapeutics gets positive opinion for Coversin's orphan drug designation in EU ,* Akari therapeutics receives positive opinion for orphan drug designation for Coversin in the European Union for treatment of Guillain Barré Syndrome,topStory
ANIP,ANI Pharmaceuticals Inc,20160523,BRIEF-Ani appoints Mark Ginski as vice president  Corticotropin product development ,* Ani announces appointment of Mark J. Ginski Ph.d as vice president  Corticotropin product development  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780),topStory
ARCC,Ares Capital Corporation,20160523,BRIEF-American Capital says Ares Capital has secured $460 mln to increase funding facility to $1 bln in connection with deal timing ,* Ares Capital has secured $460 million to increase revolving funding facility from $540 million to $1 billion in connection with deal timing  Source text - http://1.usa.gov/25czTqn    (Bengaluru Newsroom: +1 646 223 8780),topStory
ARCC,Ares Capital Corporation,20160523,Ares Capital to buy American Capital in deal valued at $3.4 billion ,Specialty finance company Ares Capital Corp  agreed to buy smaller rival American Capital Ltd  in a cash-and-stock deal valued at $3.4 billion  aiming to capture a bigger share of lending to mid-sized firms as big banks turn cautious.,normal
ARCC,Ares Capital Corporation,20160523,UPDATE 4-Ares Capital to buy American Capital in deal valued at $3.4 bln ,May 23 Specialty finance company Ares Capital Corp agreed to buy smaller rival American Capital Ltd  in a cash-and-stock deal valued at $3.4 billion  aiming to capture a bigger share of lending to mid-sized firms as big banks turn cautious.,normal
ARCC,Ares Capital Corporation,20160523,BRIEF-S&P - Ares Capital Corp 'BBB' ratings placed on creditwatch negative following plan to acquire American Capital Ltd ,* S&P On Ares Capital - Ares Capital Corp 'BBB' ratings placed on creditwatch negative following plan to acquire American Capital Ltd,normal
ARCC,Ares Capital Corporation,20160523,BRIEF-Ares Capital to buy American Capital for $3.4 bln ,* Ares Capital Corporation to acquire American Capital  Ltd. In transaction valued at $3.4 billion,normal
ARCC,Ares Capital Corporation,20160523,Ares Capital to acquire American Capital for $3.4 bln ,May 23 Investment company Ares Capital Corp  said it would buy American Capital Ltd in a cash-and-stock deal valued at $3.4 billion.,normal
CAR,Avis Budget Group Inc,20160523,BRIEF-Avis Budget Group extends corporate term loan facility ,* Avis Budget Group extends corporate term loan facility  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +1-646-223-8780),topStory
BSPM,Biostar Pharmaceuticals Inc,20160523,BRIEF-Biostar Pharma Q1 sales fall 88.4 pct to $800 000 ,* Biostar Pharmaceuticals  Inc. Announces its quarterly results for three months ended march 31  2016,topStory
BLBD,Blue Bird Corporation,20160523,BRIEF-Blue Bird Qtrly earnings per share $0.02 ,* Q2 earnings per share view $0.12 -- Thomson Reuters I/B/E/S,topStory
AVGO,Broadcom Limited,20160523,BRIEF-Tessera Technologies files legal proceedings against Broadcom ,* Broadcom is not an existing tessera customer  proceedings announced do not affect q2 guidance of fy revenue guidance,topStory
AVGO,Broadcom Limited,20160523,BRIEF-Avnet signs distribution agreement with Broadcom ,* Announced an expanded  exclusive distribution agreement with Broadcom Limited,normal
BWEN,Broadwind Energy Inc,20160523,BRIEF-Broadwind names Stephanie Kushner as CEO ,* Kushner has been company's interim president and CEO since December 2015,topStory
