AGIO,Agios Pharmaceuticals Inc,20170428,BRIEF-Agios announces closing of over-allotment option in public offering ,* Agios announces closing of over-allotment option in public offering,topStory
ALDR,Alder BioPharmaceuticals Inc,20170428,BRIEF-Alder Biopharmaceuticals says presentation of positive data from Phase 2B clinical trial evaluating Eptinezumab for prevention of migraine ,* Eptinezumab emerging clinical profile suggests migraine preventative benefit achieved as soon as 24-48 hours after single infusion,topStory
GOOG,Alphabet Inc,20170428,BRIEF-Alphabet's Google CEO Sundar Pichai's 2016 total compensation $199.7 mln ,* Alphabet - Google CEO Sundar Pichai's 2016 total compensation was $199.7 million versus $100.6 million in 2015 -SEC filing,topStory
GOOG,Alphabet Inc,20170428,Big-data analytics company Cloudera surges in market debut ,April 28 Shares of Cloudera Inc surged as much as 24 percent in their stock market debut on Friday  the latest in a string of technology initial public offerings this year  giving the big-data analytics company a market value of about $2.3 billion.,normal
GOOG,Alphabet Inc,20170428,Google's search for non-ad revenue puts spotlight on cloud  Pixel ,Alphabet Inc's non-advertising business  which houses its cloud unit  Pixel smartphones and the Play store  has long been sandwiched between Google's advertising juggernaut and its moonshot ventures that have captured popular imagination.,normal
GOOG,Alphabet Inc,20170428,UPDATE 1-Google's search for non-ad revenue puts spotlight on cloud  Pixel ,April 28 Alphabet Inc's non-advertising business  which houses its cloud unit  Pixel smartphones and the Play store  has long been sandwiched between Google's advertising juggernaut and its moonshot ventures that have captured popular imagination.,normal
GOOG,Alphabet Inc,20170428,Google's search for non-ad revenue puts spotlight on cloud  Pixel ,April 28 Alphabet Inc's non-advertising business  which houses its cloud unit  Pixel smartphones and the Play store  has long been sandwiched between Google's advertising juggernaut and its moonshot ventures that have captured popular imagination.,normal
GOOG,Alphabet Inc,20170428,Morning News Call - India  April 28 ,(India Morning Newsletter will not be published on Monday  May 1 as markets are closed for Maharashtra Din and May Day)          To access the newsletter  click on the link:    http://share.thomsonreuters.com/assets/newsletters/Indiamorning/MNC_IN_04282017.pdf           If you would like to receive this newsletter via email  please register at: https://forms.thomsonreuters.com/india-morning/               FACTORS TO WATCH     9:30 am: Junior Finance Minister Arjun Meghwal at an industry event,normal
GOOGL,Alphabet Inc,20170428,BRIEF-Alphabet's Google CEO Sundar Pichai's 2016 total compensation $199.7 mln ,* Alphabet - Google CEO Sundar Pichai's 2016 total compensation was $199.7 million versus $100.6 million in 2015 -SEC filing,topStory
GOOGL,Alphabet Inc,20170428,Big-data analytics company Cloudera surges in market debut ,April 28 Shares of Cloudera Inc surged as much as 24 percent in their stock market debut on Friday  the latest in a string of technology initial public offerings this year  giving the big-data analytics company a market value of about $2.3 billion.,normal
GOOGL,Alphabet Inc,20170428,Google's search for non-ad revenue puts spotlight on cloud  Pixel ,Alphabet Inc's non-advertising business  which houses its cloud unit  Pixel smartphones and the Play store  has long been sandwiched between Google's advertising juggernaut and its moonshot ventures that have captured popular imagination.,normal
GOOGL,Alphabet Inc,20170428,UPDATE 1-Google's search for non-ad revenue puts spotlight on cloud  Pixel ,April 28 Alphabet Inc's non-advertising business  which houses its cloud unit  Pixel smartphones and the Play store  has long been sandwiched between Google's advertising juggernaut and its moonshot ventures that have captured popular imagination.,normal
GOOGL,Alphabet Inc,20170428,Google's search for non-ad revenue puts spotlight on cloud  Pixel ,April 28 Alphabet Inc's non-advertising business  which houses its cloud unit  Pixel smartphones and the Play store  has long been sandwiched between Google's advertising juggernaut and its moonshot ventures that have captured popular imagination.,normal
GOOGL,Alphabet Inc,20170428,Morning News Call - India  April 28 ,(India Morning Newsletter will not be published on Monday  May 1 as markets are closed for Maharashtra Din and May Day)          To access the newsletter  click on the link:    http://share.thomsonreuters.com/assets/newsletters/Indiamorning/MNC_IN_04282017.pdf           If you would like to receive this newsletter via email  please register at: https://forms.thomsonreuters.com/india-morning/               FACTORS TO WATCH     9:30 am: Junior Finance Minister Arjun Meghwal at an industry event,normal
AMZN,Amazoncom Inc,20170428,CORRECTED-US STOCKS-Amazon  Alphabet drive Nasdaq to record high ,April 28 Gains in Amazon.com and Google parent Alphabet propelled the Nasdaq Composite to a record high  but the S&P 500 and the Dow Jones Industrial Average were little changed as weak economic data weighed.,topStory
AMZN,Amazoncom Inc,20170428,CORRECTED-US STOCKS-Wall Street slips as weak GDP data weighs ,April 28 U.S. stocks were slightly lower in late morning trading on Friday after data showed the economy grew at its weakest pace in three years in the first quarter.,normal
AMZN,Amazoncom Inc,20170428,CORRECTED-US STOCKS-Wall Street slightly lower as weak GDP data weighs ,April 28 U.S. stocks were slightly lower in early afternoon trading on Friday after data showed the economy grew at its weakest pace in three years in the first quarter.,normal
AMZN,Amazoncom Inc,20170428,Deutsche Post to deliver groceries for AmazonFresh in Germany ,BOCHUM  Germany Deutsche Post DHL won a contract to deliver groceries for Amazon's AmazonFresh service in Germany  which could help ease concerns that the U.S. retailer's own delivery services are an increasing threat to the German logistics group.,normal
AMZN,Amazoncom Inc,20170428,UPDATE 1-Deutsche Post to deliver groceries for AmazonFresh in Germany ,* Deutsche Post to keep operating its own online supermarket (Recasts lead  adds Deutsche Post CEO's comment),normal
AMZN,Amazoncom Inc,20170428,Amazon revenue soars as cloud  retail businesses dominate ,Amazon.com Inc's  retail and cloud-computing sales rose in the first quarter  inching above Wall Street's expectations and sending the company's shares to an all-time high in extended trading.,normal
AMZN,Amazoncom Inc,20170428,UPDATE 4-Amazon revenue soars as cloud  retail businesses dominate ,April 27 Amazon.com Inc's retail and cloud-computing sales rose in the first quarter  inching above Wall Street's expectations and sending the company's shares to an all-time high in extended trading.,normal
ANTH,Anthera Pharmaceuticals Inc,20170428,BRIEF-Anthera Pharmaceuticals announces 1-for-8 reverse split of stock ,* Anthera Pharmaceuticals says announced reverse stock split of its common stock  effective as of April 28  2017 at 5:00 P.M. Eastern Time,topStory
AAPL,Apple Inc,20170428,Qualcomm warns of profit hit as Apple battle intensifies ,Qualcomm Inc slashed its current-quarter profit and revenue forecasts on Friday  amid an escalating legal battle between the chipmaker and Apple Inc .,topStory
AAPL,Apple Inc,20170428,Apple asks California to change its proposed self-driving car testing policies ,April 28 Apple Inc asked the state of California to make changes in its proposed self-driving car policies  the latest sign the company is pursuing driverless car technology.,normal
AAPL,Apple Inc,20170428,GOU SAYS HE THINKS FOXCONN WILL HAVE AN ANNOUNCEMENT ON U.S. INVESTMENT PLANS "IN THE SUMMER  MAYBE A FEW WEEKS" ,GOU SAYS HE THINKS FOXCONN WILL HAVE AN ANNOUNCEMENT ON U.S. INVESTMENT PLANS "IN THE SUMMER  MAYBE A FEW WEEKS",normal
AAPL,Apple Inc,20170428,Foxconn plans U.S. investment  plans not finalized: Chairman Gou ,WASHINGTON Foxconn  the world's largest contract electronic manufacturer and a major Apple Inc  supplier  is planning an investment in the United States but has not finalized its plans  said Chairman Terry Gou as he exited the White House on Friday.,normal
AAPL,Apple Inc,20170428,Qualcomm warns of profit hit as Apple battle intensifies ,Qualcomm Inc slashed its current-quarter profit and revenue forecasts on Friday  amid an escalating legal battle between the chipmaker and Apple Inc.,normal
AAPL,Apple Inc,20170428,UPDATE 2-Qualcomm warns of profit hit as Apple battle intensifies ,* Apple says will stop paying royalties (Adds details  updates shares),normal
AAPL,Apple Inc,20170428,BRIEF-Apple comments on payment dispute with Qualcomm ,* Says "we’ve been trying to reach a licensing agreement with Qualcomm for more than five years but they have refused to negotiate fair terms",normal
AAPL,Apple Inc,20170428,Qualcomm says Apple to stop paying royalties  cuts profit forecast ,April 28 Qualcomm Inc said on Friday Apple Inc will not pay royalties to its contract manufacturers  that are owed to the chipmaker  for sales made in the first quarter of 2017.,normal
AAPL,Apple Inc,20170428,Japan's Sharp posts narrower loss for the year  cost cuts paying off ,TOKYO Sharp Corp on Friday reported a narrower annual loss for the year ended in March  as a cost-cutting drive by Taiwanese owner Foxconn started to show results.,normal
ARNA,Arena Pharmaceuticals Inc,20170428,BRIEF-Great Point Partners reports 9.75 pct passive stake in Arena Pharmaceuticals ,* Great Point Partners LLC reports 9.75 percent passive stake in Arena Pharmaceuticals Inc as of April 18 - SEC filing Source: (http://bit.ly/2pdzPcX) Further company coverage:,topStory
ARRS,ARRIS International plc,20170428,BRIEF-Arris International says co and certain units entered into second amendment to its credit facility ,* On April 26  2017  Arris International Plc and certain subsidiaries entered into second amendment to its credit facility,topStory
ASML,ASML Holding NV,20170428,ASML files patent countersuit against Japan's Nikon ,ASML  the world's third largest semiconductor equipment maker  said on Friday it had counter-sued rival Nikon  after the Japanese company launched a wide-ranging patent battle against the Dutch company this week.,topStory
ASML,ASML Holding NV,20170428,ASML files patent countersuit against Japan's Nikon ,ASML  the world's third largest semiconductor equipment maker  said on Friday it had counter-sued rival Nikon  after the Japanese company launched a wide-ranging patent battle against the Dutch company this week.,normal
ASML,ASML Holding NV,20170428,UPDATE 4-ASML files patent countersuit against Japan's Nikon ,* ASML has 80 pct of revs in market vs Nikon  Canon - Fitch (Adds Nikon statement),normal
ASML,ASML Holding NV,20170428,ASML files patent case against Nikon ,April 28 ASML  Europe's largest supplier to semiconductor manufacturers  said it filed patent infringement cases against Nikon in Japan related to semiconductor manufacturing equipment  flat panel display manufacturing equipment and digital cameras.,normal
ASML,ASML Holding NV,20170428,BRIEF-ASML files patent infringement lawsuits against Nikon ,* ASML has today filed suits in Japan  both on its own and jointly with its strategic partner Zeiss,normal
ADSK,Autodesk Inc,20170428,BRIEF-Autodesk says co  Citibank  Bank of America entered into amendment to credit agreement ,* Autodesk - on April 26  co  Citibank NA  Bank of America NA  among others entered into letter amendment No. 1 to amended credit agreement dated May 29  2015,topStory
BIDU,Baidu Inc,20170428,Baidu sees weak second quarter as ad business curbs hurt; shares fall ,BEIJING Baidu Inc on Friday forecast second-quarter revenue largely below estimates as the Chinese internet company continues to grapple with Beijing's restrictions on its lucrative medical advertisements segment  sending its shares down six percent in extended trading.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20170428,UBS valuation lead over Barclays looks too wide ,LONDON (Reuters Breakingviews) - When it comes to being a bank chief executive  the received wisdom is that UBS boss Sergio Ermotti has a stronger hand than Jes Staley at Barclays. Even ignoring the UK bank chief executive’s recent disregard for whistleblowing rules  investors prefer his Swiss counterpart’s strategy of running a focused investment bank alongside a big wealth management business. That is reflected in valuations: UBS trades at 1.3 times tangible book value  almost twice Barclays’ ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20170428,Barclays misses debt trading surge  but DCM strong ,LONDON  April 28 (IFR) - Barclays failed to match the rebound in bond trading revenues shown by US rivals last quarter due to a weak performance in US rates trading  taking the shine off a strong performance in other areas of investment banking and across the group.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20170428,BRIEF-Barclays CEO Jes Staley says did not offer resignation over whistleblower treatment ,* Barclays CEO Jes Staley says "I made a mistake" over treatment of whistleblower,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20170428,BRIEF-Barclays Q1 markets income falls 4 pct ,* Africa banking profit before tax  excluding impairment of Barclays' holding in BAGL  increased to 325 mln stg,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20170428,UK Stocks-Factors to watch on April 28 ,    April 28 Britain's FTSE 100 index is seen opening up 1 point at 7 238 on Friday  according to financial bookmakers.           * BARCLAYS: British bank Barclays Plc faces shareholder revolt over whistleblower inquiry after a corporate governance firm advised shareholders not to back his re-election to the board  The Times reported on Friday. (http://bit.ly/2qdvJ63)                  * BP: BP Plc was restoring production on Thursday afternoon at two crude distillation units at its 4,normal
BLMN,Bloomin&#39; Brands Inc,20170428,BRIEF-Bloomin' Brands to sell and refranchise 45 outback steakhouses in four states ,* Bloomin' Brands Inc - sale and refranchising of 45 outback steakhouses in Arizona  Colorado  Nevada and New Mexico,topStory
CZR,Caesars Entertainment Corporation,20170428,BRIEF-Caesars Entertainment's unit enters into incremental assumption agreement ,* Caesars Entertainment-co's unit entered into an incremental assumption agreement and amendment no. 1 that amends first lien credit agreement  dated may 8  2014,topStory
CFNB,California First National Bancorp,20170428,BRIEF-CFNB Q3 earnings per share $0.24 ,* CFNB third quarter earnings increase 56% on strong non-interest income,topStory
CEMP,Cempra Inc,20170428,BRIEF-Cempra Q1 loss per share $0.44 ,* Cempra reports first quarter 2017 financial results and provides corporate update,topStory
CVCY,Central Valley Community Bancorp,20170428,BRIEF-Folsom Lake Bank to pay fee of $1.1 mln if merger terminated ,* Central Valley Community Bancorp - Folsom Lake Bank must pay co a termination fee in amount of $1.1 million if merger agreement is terminated Source text: (http://bit.ly/2qme8Fz) Further company coverage:,topStory
CVCY,Central Valley Community Bancorp,20170428,BRIEF-Central Valley Community to acquire Folsom Lake Bank in a stock merger ,* Central Valley Community Bancorp to acquire Folsom Lake Bank,normal
JRJC,China Finance Online Co Limited,20170428,BRIEF-China Finance Online reports about 43 pct fall in Q4 net revenues ,* China Finance Online reports fourth quarter and full year 2016 unaudited financial results (amended),topStory
CHSCL,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing: sources ,SAO PAULO CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,topStory
CHSCL,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing -sources ,SAO PAULO  April 28 CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,normal
CHSCL,CHS Inc,20170428,ADM hires chief risk officer from CHS in latest corporate shake-up ,LONDON/CHICAGO  April 28 Archer Daniels Midland Co has hired a chief risk officer from rival CHS Inc   the U.S. agribusiness confirmed on Friday  a further sign of an internal shake-up as a global grain glut pressures its profits.,normal
CHSCM,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing: sources ,SAO PAULO CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,topStory
CHSCM,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing -sources ,SAO PAULO  April 28 CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,normal
CHSCM,CHS Inc,20170428,ADM hires chief risk officer from CHS in latest corporate shake-up ,LONDON/CHICAGO  April 28 Archer Daniels Midland Co has hired a chief risk officer from rival CHS Inc   the U.S. agribusiness confirmed on Friday  a further sign of an internal shake-up as a global grain glut pressures its profits.,normal
CHSCN,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing: sources ,SAO PAULO CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,topStory
CHSCN,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing -sources ,SAO PAULO  April 28 CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,normal
CHSCN,CHS Inc,20170428,ADM hires chief risk officer from CHS in latest corporate shake-up ,LONDON/CHICAGO  April 28 Archer Daniels Midland Co has hired a chief risk officer from rival CHS Inc   the U.S. agribusiness confirmed on Friday  a further sign of an internal shake-up as a global grain glut pressures its profits.,normal
