BABA,Alibaba Group Holding Limited,20171008,BRIEF-AtHub receives letter from Alibaba to increase investment in data centre project ,* Says it receives letter of intent from Alibaba to increase investment in data centre project,topStory
BA,Boeing Company (The),20171008,Boeing helped finance bailout of Monarch Airlines in 2016- FT ,Oct 8 Boeing Co had pumped in more than 100 million pounds ($130 million) into Britain's now defunct Monarch Airlines  the Financial Times reported.,topStory
CVX,Chevron Corporation,20171008,Chevron starts redeploying staff  restoring production in Gulf post: storm ,HOUSTON Chevron Corp  has begun to redeploy personnel and restore oil production at its Gulf of Mexico facilities after storm Nate  the company said in a statement on Sunday.,topStory
CVX,Chevron Corporation,20171008,Chevron starts redeploying staff  restoring production in Gulf post-storm ,HOUSTON  Oct 8 Chevron Corp has begun to redeploy personnel and restore oil production at its Gulf of Mexico facilities after storm Nate  the company said in a statement on Sunday.,normal
EXR,Extra Space Storage Inc,20171008,BRIEF-Saudi's Extra reports Q3 estimated profit of 26.1 mln riyals ,* Q3 ESTIMATED NET PROFIT 26.1 MILLION RIYALS Source text for Eikon: Further company coverage:,topStory
HSBC,HSBC Holdings plc,20171008,HSBC picks retail head John Flint as next CEO: newspaper ,LONDON HSBC  wants to appoint company insider John Flint as its next chief executive and has approached regulators seeking their approval  Britain's Sunday Times newspaper said.,topStory
HSBC,HSBC Holdings plc,20171008,HSBC picks retail head John Flint as next CEO - newspaper ,LONDON  Oct 8 HSBC wants to appoint company insider John Flint as its next chief executive and has approached regulators seeking their approval  Britain's Sunday Times newspaper said.,normal
HSEA,HSBC Holdings plc,20171008,HSBC picks retail head John Flint as next CEO: newspaper ,LONDON HSBC  wants to appoint company insider John Flint as its next chief executive and has approached regulators seeking their approval  Britain's Sunday Times newspaper said.,topStory
HSEA,HSBC Holdings plc,20171008,HSBC picks retail head John Flint as next CEO - newspaper ,LONDON  Oct 8 HSBC wants to appoint company insider John Flint as its next chief executive and has approached regulators seeking their approval  Britain's Sunday Times newspaper said.,normal
HSEB,HSBC Holdings plc,20171008,HSBC picks retail head John Flint as next CEO: newspaper ,LONDON HSBC  wants to appoint company insider John Flint as its next chief executive and has approached regulators seeking their approval  Britain's Sunday Times newspaper said.,topStory
HSEB,HSBC Holdings plc,20171008,HSBC picks retail head John Flint as next CEO - newspaper ,LONDON  Oct 8 HSBC wants to appoint company insider John Flint as its next chief executive and has approached regulators seeking their approval  Britain's Sunday Times newspaper said.,normal
OMF,OneMain Holdings Inc,20171008,Subprime lender OneMain putting itself up for sale: source ,NEW YORK The subprime lender OneMain Holdings Inc  has put itself up for sale and is running an auction to solicit takeover bids  according to a person familiar with the matter.,topStory
OMF,OneMain Holdings Inc,20171008,Subprime lender OneMain putting itself up for sale -source ,NEW YORK  Oct 8 The subprime lender OneMain Holdings Inc has put itself up for sale and is running an auction to solicit takeover bids  according to a person familiar with the matter.,normal
PSX,Phillips 66,20171008,Phillips 66 Alliance refinery undamaged by Hurricane Nate: sources ,HOUSTON Phillips 66's  247 000 barrel per day (bpd) Alliance  Louisiana  refinery was undamaged by the passage of Hurricane Nate on Saturday night and may begin restarting some units on Sunday  sources familiar with plant operations said.,topStory
UMC,United Microelectronics Corporation,20171008,BRIEF-Taiwan UMC's September sales down 6.8 pct y/y ,* Says September sales down 6.8 percent y/y at T$11.9 billion  ($391.83 million),topStory
