FCCY,1st Constitution Bancorp (NJ),20180420,BRIEF-1St Constitution Bancorp Q1 Earnings Per Share $0.34 ,* REPORTS FIRST QUARTER 2018 RESULTS AND DECLARES QUARTERLY DIVIDEND OF $0.06 PER SHARE,topStory
ABEO,Abeona Therapeutics Inc,20180420,BRIEF-Abeona Therapeutics Receives Orphan Drug Designation In The European Union For ABO-202 Gene Therapy Program In Batten Disease ,* ABEONA THERAPEUTICS RECEIVES ORPHAN DRUG DESIGNATION IN THE EUROPEAN UNION FOR ABO-202 GENE THERAPY PROGRAM IN BATTEN DISEASE Source text for Eikon: Further company coverage:,topStory
AKAM,Akamai Technologies Inc,20180420,BRIEF-Akamai Technologies Says CEO Leighton's FY 2017 Total Compensation Was $9.2 Mln ,* AKAMAI TECHNOLOGIES SAYS CEO THOMSON LEIGHTON'S FY 2017 TOTAL COMPENSATION WAS $9.2 MILLION VERSUS $6.3 MILLION IN 2016 - SEC FILING Source text: (https://bit.ly/2HN9yKh) Further company coverage:,topStory
ALXN,Alexion Pharmaceuticals Inc,20180420,BRIEF-Alexion Says No Compulsory License Of Soliris Was Requested Or Granted In Brazil ,* ALEXION PROVIDES STATEMENT ON SUPERIOR COURT OF JUSTICE (STJ) DECISION IN BRAZIL INVOLVING SOLIRIS® (ECULIZUMAB),topStory
ALNY,Alnylam Pharmaceuticals Inc,20180420,U.S. biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON Alnylam Pharmaceuticals Inc said on Friday that Dicerna Pharmaceuticals Inc will pay it $25 million in cash and stock to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,topStory
ALNY,Alnylam Pharmaceuticals Inc,20180420,UPDATE 2-U.S. biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON  April 20 Alnylam Pharmaceuticals Inc said on Friday that Dicerna Pharmaceuticals Inc will pay it $25 million in cash and stock to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,normal
ALNY,Alnylam Pharmaceuticals Inc,20180420,CORRECTED-UPDATE 1-U.S. biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON  April 20 Dicerna Pharmaceuticals Inc on Friday said that it will pay $15 million plus stock to Alnylam Pharmaceuticals Inc to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,normal
ALNY,Alnylam Pharmaceuticals Inc,20180420,CORRECTED-Biotech companies Alnylam  Dicerna settle trade secrets case ,BOSTON  April 20 Dicerna Pharmaceuticals Inc on Friday said it will pay $15 million plus stock to Alnylam Pharmaceuticals Inc to resolve a lawsuit claiming it stole trade secrets about gene-silencing technology used to develop drug treatments.,normal
ALNY,Alnylam Pharmaceuticals Inc,20180420,BRIEF-Alnylam Reaches Settlement Agreement With Dicerna Pharmaceuticals ,* ALNYLAM REACHES SETTLEMENT AGREEMENT WITH DICERNA PHARMACEUTICALS RESOLVING TRADE SECRET MISAPPROPRIATION AND OTHER PENDING LITIGATION,normal
ABCB,Ameris Bancorp,20180420,BRIEF-Ameris Bancorp Announces Q1 Adjusted Earnings Per Share $0.73 ,* Q1 EARNINGS PER SHARE VIEW $0.73 -- THOMSON REUTERS I/B/E/S,topStory
AINV,Apollo Investment Corporation,20180420,Apollo  Blackstone are the only remaining bidders for Cirsa -sources ,MADRID/LONDON The private equity funds of Blackstone  and Apollo  are the only two bidders left in the sale of Spanish gaming hall operator Cirsa  raising doubts about whether the sale will go ahead  sources familiar with the matter said.,topStory
AAPL,Apple Inc,20180420,Apple offers battery replacement for some MacBooks after flaws reported ,Apple Inc  on Friday said component failure in a limited number of MacBook Pros has caused built-in battery to expand  adding  it will offer worldwide free replacement for such batteries.,topStory
AAPL,Apple Inc,20180420,Apple offers battery replacement for some MacBooks after flaws reported ,April 20 Apple Inc on Friday said component failure in a limited number of MacBook Pros has caused built-in battery to expand  adding  it will offer worldwide free replacement for such batteries.,normal
AAPL,Apple Inc,20180420,U.S. yield hits four-year high; stocks fall on tech sector ,NEW YORK A U.S. bond sell-off continued for a second day on Friday  pushing the 10-year Treasury yield to its highest level in more than four years and steepening the yield curve after two weeks of flattening.,normal
AAPL,Apple Inc,20180420,GLOBAL MARKETS-U.S. yield hits 4-year high; stocks fall on tech sector ,* Pound on back foot after dovish remarks from BoE's Carney (Adds Wall Street close; updates throughout),normal
