ACTG,Acacia Research Corporation,20180501,BRIEF-Acacia Research Reports Q1 Non-GAAP Loss Per Share $0.51 ,* Q1 REVENUE $62.09 MILLION VERSUS $8.854 MILLION Source text for Eikon: Further company coverage:,topStory
ACHC,Acadia Healthcare Company Inc,20180501,BRIEF-Acadia Healthcare Reports Q1 Adjusted Earnings Per Share $0.52 ,* ACADIA HEALTHCARE REPORTS FIRST QUARTER REVENUE OF $742.2 MILLION  EPS OF $0.58 AND ADJUSTED EPS OF $0.52,topStory
XLRN,Acceleron Pharma Inc,20180501,BRIEF-Acceleron Receives FDA Fast Track Designation For Ace-083 In Facioscapulohumeral Muscular Dystrophy ,* ACCELERON RECEIVES FDA FAST TRACK DESIGNATION FOR ACE-083 IN FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY (FSHD) Source text for Eikon: Further company coverage:,topStory
ADVM,Adverum Biotechnologies Inc,20180501,BRIEF-Adverum Biotechnologies Announces Long-Term Preclinical Efficacy Data On ADVM-022 Gene Therapy In Wet AMD ,* ADVERUM BIOTECHNOLOGIES ANNOUNCES LONG-TERM PRECLINICAL EFFICACY DATA ON ADVM-022 GENE THERAPY IN WET AMD,topStory
AMZN,Amazoncom Inc,20180501,BRIEF-Amazon Plans To Expand Boston Tech Hub  Create Additional 2 000 Technology Jobs ,* AMAZON ANNOUNCES PLANS TO EXPAND BOSTON TECH HUB AND CREATE AN ADDITIONAL 2 000 TECHNOLOGY JOBS Source text for Eikon: Further company coverage:,topStory
AMZN,Amazoncom Inc,20180501,Permira to buy back Cisco's pay-TV software business ,TEL AVIV Private equity firm Permira [PERM.UL] said on Tuesday it is buying back Cisco System's  video software unit  six years after it sold the business to Cisco for $5 billion.,normal
AMZN,Amazoncom Inc,20180501,Permira to buy back Cisco's pay-TV software business ,TEL AVIV  May 1 Private equity firm Permira said on Tuesday it is buying back Cisco System's video software unit  six years after it sold the business to Cisco for $5 billion.,normal
ARII,American Railcar Industries Inc,20180501,BRIEF-American Railcar Industries Reports Q1 Earnings Per Share $0.68 ,* AMERICAN RAILCAR INDUSTRIES  INC. REPORTS FIRST QUARTER 2018 RESULTS,topStory
AAPL,Apple Inc,20180501,Breakingviews - Apple is bumping up against iPhone limits ,NEW YORK (Reuters Breakingviews) - Apple is bumping up against its iPhone limits. The smartphone market is mature  and soft demand for the $1 000-plus X model suggests the company led by Tim Cook has maxed out on pricing. The company’s just-ended quarter - revenue rose 16 percent to $61.1 billion - shows Apple can still sell a lot of phones and more accessories and services. And a robust balance sheet means it plans to repurchase another $100 billion in shares and increase the dividend. But the ,topStory
AAPL,Apple Inc,20180501,US STOCKS-Wall Street rises on optimism on NAFTA deal and China trade ,* Dow down 0.27 pct  S&P up 0.25 pct  Nasdaq up 0.91 pct (Updates to close; recasts with S&P higher),normal
AAPL,Apple Inc,20180501,BRIEF-Apple Inc Reports Quarterly Earnings Per Share Of $2.73 ,* QUARTERLY REVENUE $61.14 BILLION VERSUS $52.90 BILLION LAST YEAR,normal
AAPL,Apple Inc,20180501,Apple beats financial expectations  plans $100 bln cash return boost ,May 1 Apple Inc on Tuesday beat revenue and profit expectations in its March quarter as it sold 52.2 million iPhones  barely below Wall Street targets and showing some resilience as global demand for smartphones wanes.,normal
AAPL,Apple Inc,20180501,US STOCKS-Wall St pares losses after Lighthizer comments on China ,* Dow down 0.7 pct  S&P down 0.2 pct  Nasdaq up 0.5 pct (Updates to late afternoon  changes byline  adds NEW YORK to dateline),normal
AAPL,Apple Inc,20180501,Apple in charts before second-quarter earnings ,Apple reports second-quarter results later on Tuesday  following warnings from some chipmakers who supply the world's biggest smartphone makers about demand for the iPhone and other top-end models.,normal
